time,open,high,low,close
2026-03-04 20:07:47+00:00,1.58721,1.58765,1.58719,1.58764
2026-03-04 20:15:00+00:00,1.58765,1.58769,1.5871,1.58757
2026-03-04 20:30:00+00:00,1.58757,1.58784,1.58741,1.5878
2026-03-04 20:45:00+00:00,1.5878,1.58826,1.5877,1.58813
2026-03-04 21:00:00+00:00,1.58811,1.58824,1.58708,1.58725
2026-03-04 21:15:00+00:00,1.58728,1.58731,1.58648,1.58653
2026-03-04 21:30:00+00:00,1.58652,1.58726,1.58652,1.58719
2026-03-04 21:45:00+00:00,1.58718,1.5875,1.58694,1.58728
2026-03-04 22:00:00+00:00,1.58725,1.58725,1.58593,1.5863
2026-03-04 22:15:00+00:00,1.58622,1.58743,1.58616,1.58709
2026-03-04 22:30:00+00:00,1.58712,1.58766,1.58704,1.58714
2026-03-04 22:45:00+00:00,1.58709,1.58753,1.58672,1.58742
2026-03-04 23:00:00+00:00,1.58741,1.58741,1.58683,1.58712
2026-03-04 23:15:00+00:00,1.58712,1.58733,1.58696,1.58721
2026-03-04 23:30:00+00:00,1.5872,1.58731,1.58707,1.58714
2026-03-04 23:45:00+00:00,1.58715,1.58737,1.58702,1.58728
2026-03-05 00:00:00+00:00,1.58729,1.58754,1.58709,1.5873
2026-03-05 00:15:00+00:00,1.5873,1.58755,1.58722,1.58747
2026-03-05 00:30:00+00:00,1.58747,1.5876,1.58721,1.58756
2026-03-05 00:45:00+00:00,1.58754,1.58766,1.58732,1.58756
2026-03-05 01:00:00+00:00,1.58756,1.58756,1.58696,1.58721
2026-03-05 01:15:00+00:00,1.58721,1.58746,1.58699,1.58745
2026-03-05 01:30:00+00:00,1.58747,1.58762,1.58674,1.58695
2026-03-05 01:45:00+00:00,1.58693,1.58695,1.58646,1.5865
2026-03-05 02:00:00+00:00,1.5865,1.58656,1.58624,1.58632
2026-03-05 02:15:00+00:00,1.58633,1.58645,1.58601,1.58624
2026-03-05 02:30:00+00:00,1.58624,1.58636,1.58582,1.58628
2026-03-05 02:45:00+00:00,1.5863,1.58646,1.5859,1.58598
2026-03-05 03:00:00+00:00,1.58598,1.586,1.58559,1.58577
2026-03-05 03:15:00+00:00,1.58578,1.58584,1.58534,1.58552
2026-03-05 03:30:00+00:00,1.58555,1.58555,1.58515,1.58544
2026-03-05 03:45:00+00:00,1.5854,1.58561,1.58529,1.58542
2026-03-05 04:00:00+00:00,1.58542,1.58542,1.5849,1.5849
2026-03-05 04:15:00+00:00,1.58492,1.58495,1.58449,1.58449
2026-03-05 04:30:00+00:00,1.58448,1.58465,1.58446,1.58448
2026-03-05 04:45:00+00:00,1.58449,1.58458,1.58434,1.58442
2026-03-05 05:00:00+00:00,1.58441,1.58482,1.58424,1.58466
2026-03-05 05:15:00+00:00,1.58467,1.58495,1.58456,1.58488
2026-03-05 05:30:00+00:00,1.58486,1.58491,1.58448,1.5848
2026-03-05 05:45:00+00:00,1.58481,1.58483,1.58384,1.58406
2026-03-05 06:00:00+00:00,1.58407,1.58416,1.58358,1.58362
2026-03-05 06:15:00+00:00,1.58359,1.58383,1.58334,1.58383
2026-03-05 06:30:00+00:00,1.58386,1.58451,1.58376,1.58445
2026-03-05 06:45:00+00:00,1.58445,1.58584,1.58403,1.58469
2026-03-05 07:00:00+00:00,1.58466,1.58472,1.58346,1.58361
2026-03-05 07:15:00+00:00,1.58362,1.58381,1.58329,1.58378
2026-03-05 07:30:00+00:00,1.58377,1.5844,1.58372,1.5842
2026-03-05 07:45:00+00:00,1.5842,1.5842,1.58329,1.58331
2026-03-05 08:00:00+00:00,1.58332,1.58396,1.58291,1.58375
2026-03-05 08:15:00+00:00,1.58376,1.58455,1.58307,1.58313
2026-03-05 08:30:00+00:00,1.58314,1.58403,1.583,1.58363
2026-03-05 08:45:00+00:00,1.58365,1.58437,1.58363,1.58417
2026-03-05 09:00:00+00:00,1.58413,1.58681,1.58397,1.58681
2026-03-05 09:15:00+00:00,1.58673,1.58693,1.58572,1.58599
2026-03-05 09:30:00+00:00,1.58599,1.58637,1.58514,1.5856
2026-03-05 09:45:00+00:00,1.58557,1.58605,1.58504,1.58592
2026-03-05 10:00:00+00:00,1.58591,1.58682,1.58587,1.58617
2026-03-05 10:15:00+00:00,1.58617,1.58617,1.58569,1.58578
2026-03-05 10:30:00+00:00,1.58579,1.58579,1.58401,1.58423
2026-03-05 10:45:00+00:00,1.58423,1.58429,1.58348,1.58382
2026-03-05 11:00:00+00:00,1.58382,1.58404,1.58296,1.58317
2026-03-05 11:15:00+00:00,1.58317,1.58333,1.58273,1.58301
2026-03-05 11:30:00+00:00,1.583,1.5833,1.5824,1.58251
2026-03-05 11:45:00+00:00,1.58252,1.5828,1.5821,1.58267
2026-03-05 12:00:00+00:00,1.58271,1.58293,1.5824,1.58255
2026-03-05 12:15:00+00:00,1.58255,1.58392,1.58246,1.5834
2026-03-05 12:30:00+00:00,1.5834,1.58427,1.58333,1.58375
2026-03-05 12:45:00+00:00,1.58374,1.58386,1.58196,1.58269
2026-03-05 13:00:00+00:00,1.58269,1.58276,1.58218,1.58247
2026-03-05 13:15:00+00:00,1.58245,1.58257,1.58134,1.58161
2026-03-05 13:30:00+00:00,1.58166,1.58291,1.58165,1.58222
2026-03-05 13:45:00+00:00,1.58223,1.58274,1.58153,1.58263
2026-03-05 14:00:00+00:00,1.58263,1.58422,1.58263,1.58336
2026-03-05 14:15:00+00:00,1.58338,1.58361,1.58258,1.58294
2026-03-05 14:30:00+00:00,1.58293,1.58357,1.58236,1.58321
2026-03-05 14:45:00+00:00,1.5832,1.58401,1.5823,1.58248
2026-03-05 15:00:00+00:00,1.58247,1.58367,1.58238,1.58344
2026-03-05 15:15:00+00:00,1.58347,1.58395,1.58305,1.5836
2026-03-05 15:30:00+00:00,1.58361,1.58429,1.58347,1.58375
2026-03-05 15:45:00+00:00,1.58378,1.58483,1.58373,1.58463
2026-03-05 16:00:00+00:00,1.58457,1.58555,1.58394,1.58552
2026-03-05 16:15:00+00:00,1.58556,1.58634,1.5851,1.58513
2026-03-05 16:30:00+00:00,1.58511,1.58572,1.58432,1.58552
2026-03-05 16:45:00+00:00,1.58551,1.58615,1.58516,1.58605
2026-03-05 17:00:00+00:00,1.58607,1.58663,1.5858,1.58588
2026-03-05 17:15:00+00:00,1.58587,1.58652,1.58572,1.5863
2026-03-05 17:30:00+00:00,1.58633,1.58719,1.58596,1.58668
2026-03-05 17:45:00+00:00,1.58666,1.58803,1.58655,1.58752
2026-03-05 18:00:00+00:00,1.58748,1.58761,1.58608,1.58615
2026-03-05 18:15:00+00:00,1.58613,1.58679,1.58525,1.58663
2026-03-05 18:30:00+00:00,1.58663,1.58677,1.58607,1.58624
2026-03-05 18:45:00+00:00,1.58627,1.5863,1.58562,1.58574
2026-03-05 19:00:00+00:00,1.58574,1.58591,1.58509,1.58517
2026-03-05 19:15:00+00:00,1.58516,1.58548,1.58502,1.58525
2026-03-05 19:30:00+00:00,1.58525,1.58558,1.58482,1.58485
2026-03-05 19:45:00+00:00,1.58484,1.58484,1.58403,1.58435
2026-03-05 20:00:00+00:00,1.58434,1.58673,1.58416,1.58666
2026-03-05 20:15:00+00:00,1.58667,1.58718,1.58566,1.5864
2026-03-05 20:30:00+00:00,1.58641,1.58695,1.58607,1.58658
2026-03-05 20:45:00+00:00,1.58658,1.58667,1.58573,1.58608
2026-03-05 21:00:00+00:00,1.5861,1.58654,1.58583,1.58622
2026-03-05 21:15:00+00:00,1.58629,1.58635,1.58573,1.58597
2026-03-05 21:30:00+00:00,1.58599,1.58647,1.5858,1.58647
2026-03-05 21:45:00+00:00,1.58646,1.58748,1.58635,1.58731
2026-03-05 22:00:00+00:00,1.58767,1.58788,1.58723,1.58732
2026-03-05 22:15:00+00:00,1.58732,1.58799,1.58729,1.58785
