time,open,high,low,close
2026-03-04 20:07:59+00:00,209.942,210.003,209.939,209.993
2026-03-04 20:15:00+00:00,209.993,210.109,209.992,210.075
2026-03-04 20:30:00+00:00,210.071,210.113,210.063,210.113
2026-03-04 20:45:00+00:00,210.112,210.156,210.094,210.134
2026-03-04 21:00:00+00:00,210.132,210.138,210.042,210.109
2026-03-04 21:15:00+00:00,210.105,210.152,210.064,210.077
2026-03-04 21:30:00+00:00,210.076,210.085,210.003,210.02
2026-03-04 21:45:00+00:00,210.02,210.062,209.958,210.06
2026-03-04 22:00:00+00:00,210.072,210.075,209.981,209.998
2026-03-04 22:15:00+00:00,209.998,210.021,209.974,210.001
2026-03-04 22:30:00+00:00,210.002,210.099,209.999,210.012
2026-03-04 22:45:00+00:00,210.012,210.047,209.974,209.981
2026-03-04 23:00:00+00:00,209.977,209.999,209.921,209.969
2026-03-04 23:15:00+00:00,209.966,209.995,209.94,209.968
2026-03-04 23:30:00+00:00,209.968,210.009,209.914,210.006
2026-03-04 23:45:00+00:00,210.006,210.006,209.869,209.874
2026-03-05 00:00:00+00:00,209.873,209.873,209.66,209.667
2026-03-05 00:15:00+00:00,209.667,209.789,209.652,209.773
2026-03-05 00:30:00+00:00,209.775,209.788,209.723,209.728
2026-03-05 00:45:00+00:00,209.73,209.758,209.528,209.558
2026-03-05 01:00:00+00:00,209.562,209.712,209.542,209.702
2026-03-05 01:15:00+00:00,209.698,209.698,209.444,209.449
2026-03-05 01:30:00+00:00,209.448,209.533,209.397,209.4
2026-03-05 01:45:00+00:00,209.397,209.556,209.37,209.552
2026-03-05 02:00:00+00:00,209.551,209.649,209.536,209.578
2026-03-05 02:15:00+00:00,209.574,209.592,209.465,209.536
2026-03-05 02:30:00+00:00,209.535,209.696,209.527,209.629
2026-03-05 02:45:00+00:00,209.631,209.762,209.624,209.753
2026-03-05 03:00:00+00:00,209.751,209.775,209.567,209.57
2026-03-05 03:15:00+00:00,209.569,209.625,209.437,209.448
2026-03-05 03:30:00+00:00,209.453,209.457,209.34,209.423
2026-03-05 03:45:00+00:00,209.431,209.558,209.422,209.446
2026-03-05 04:00:00+00:00,209.448,209.564,209.425,209.509
2026-03-05 04:15:00+00:00,209.512,209.539,209.477,209.483
2026-03-05 04:30:00+00:00,209.479,209.501,209.383,209.394
2026-03-05 04:45:00+00:00,209.392,209.539,209.385,209.539
2026-03-05 05:00:00+00:00,209.538,209.619,209.391,209.493
2026-03-05 05:15:00+00:00,209.487,209.521,209.427,209.458
2026-03-05 05:30:00+00:00,209.457,209.491,209.366,209.376
2026-03-05 05:45:00+00:00,209.376,209.418,209.28,209.29
2026-03-05 06:00:00+00:00,209.29,209.318,209.188,209.261
2026-03-05 06:15:00+00:00,209.26,209.407,209.223,209.357
2026-03-05 06:30:00+00:00,209.358,209.368,209.232,209.293
2026-03-05 06:45:00+00:00,209.292,209.395,209.213,209.379
2026-03-05 07:00:00+00:00,209.375,209.498,209.375,209.468
2026-03-05 07:15:00+00:00,209.468,209.537,209.393,209.535
2026-03-05 07:30:00+00:00,209.535,209.816,209.535,209.789
2026-03-05 07:45:00+00:00,209.785,209.807,209.71,209.807
2026-03-05 08:00:00+00:00,209.813,209.82,209.566,209.611
2026-03-05 08:15:00+00:00,209.608,209.689,209.487,209.496
2026-03-05 08:30:00+00:00,209.495,209.526,209.378,209.452
2026-03-05 08:45:00+00:00,209.45,209.649,209.439,209.593
2026-03-05 09:00:00+00:00,209.594,209.897,209.548,209.843
2026-03-05 09:15:00+00:00,209.848,209.867,209.681,209.792
2026-03-05 09:30:00+00:00,209.791,209.847,209.635,209.781
2026-03-05 09:45:00+00:00,209.782,209.925,209.733,209.873
2026-03-05 10:00:00+00:00,209.878,209.96,209.832,209.87
2026-03-05 10:15:00+00:00,209.869,209.881,209.793,209.868
2026-03-05 10:30:00+00:00,209.869,209.911,209.715,209.762
2026-03-05 10:45:00+00:00,209.762,210.016,209.755,209.997
2026-03-05 11:00:00+00:00,209.997,210.14,209.969,210.121
2026-03-05 11:15:00+00:00,210.121,210.144,210.035,210.037
2026-03-05 11:30:00+00:00,210.038,210.064,209.982,210.06
2026-03-05 11:45:00+00:00,210.06,210.261,210.054,210.2
2026-03-05 12:00:00+00:00,210.203,210.267,210.169,210.206
2026-03-05 12:15:00+00:00,210.206,210.384,210.198,210.352
2026-03-05 12:30:00+00:00,210.352,210.458,210.329,210.413
2026-03-05 12:45:00+00:00,210.413,210.469,210.335,210.457
2026-03-05 13:00:00+00:00,210.458,210.564,210.441,210.541
2026-03-05 13:15:00+00:00,210.544,210.561,210.413,210.424
2026-03-05 13:30:00+00:00,210.425,210.56,210.347,210.515
2026-03-05 13:45:00+00:00,210.511,210.567,210.432,210.546
2026-03-05 14:00:00+00:00,210.545,210.624,210.476,210.53
2026-03-05 14:15:00+00:00,210.53,210.584,210.421,210.468
2026-03-05 14:30:00+00:00,210.46,210.563,210.191,210.213
2026-03-05 14:45:00+00:00,210.212,210.323,210.176,210.262
2026-03-05 15:00:00+00:00,210.261,210.271,210.078,210.246
2026-03-05 15:15:00+00:00,210.251,210.281,210.096,210.171
2026-03-05 15:30:00+00:00,210.168,210.182,209.963,210.019
2026-03-05 15:45:00+00:00,210.019,210.077,209.898,209.997
2026-03-05 16:00:00+00:00,209.998,210.01,209.793,209.867
