time,open,high,low,close
2026-03-04 20:09:26+00:00,3.6646,3.6653,3.6637,3.6639
2026-03-04 20:15:00+00:00,3.6639,3.6645,3.6637,3.664
2026-03-04 20:30:00+00:00,3.664,3.6644,3.663,3.6632
2026-03-04 20:45:00+00:00,3.6631,3.6656,3.6631,3.6654
2026-03-04 21:00:00+00:00,3.6655,3.667,3.6654,3.6663
2026-03-04 21:15:00+00:00,3.6662,3.6665,3.6655,3.666
2026-03-04 21:30:00+00:00,3.666,3.6676,3.666,3.6675
2026-03-04 21:45:00+00:00,3.6674,3.6692,3.6672,3.6691
2026-03-04 22:00:00+00:00,3.6704,3.6734,3.6704,3.6709
2026-03-04 22:15:00+00:00,3.6709,3.6716,3.6704,3.6704
2026-03-04 22:30:00+00:00,3.6707,3.6709,3.67,3.6701
2026-03-04 22:45:00+00:00,3.6701,3.6706,3.6696,3.6697
2026-03-04 23:00:00+00:00,3.67,3.6701,3.6663,3.6677
2026-03-04 23:15:00+00:00,3.6676,3.6686,3.6675,3.6683
2026-03-04 23:30:00+00:00,3.6683,3.6691,3.6679,3.6684
2026-03-04 23:45:00+00:00,3.6686,3.6693,3.6679,3.6685
2026-03-05 00:00:00+00:00,3.6685,3.6706,3.6681,3.6702
2026-03-05 00:15:00+00:00,3.6702,3.6705,3.6677,3.6678
2026-03-05 00:30:00+00:00,3.6678,3.669,3.6666,3.6671
2026-03-05 00:45:00+00:00,3.6671,3.6678,3.6669,3.6671
2026-03-05 01:00:00+00:00,3.6671,3.6695,3.6671,3.6684
2026-03-05 01:15:00+00:00,3.6684,3.6684,3.6669,3.6674
2026-03-05 01:30:00+00:00,3.6675,3.6758,3.6673,3.6755
2026-03-05 01:45:00+00:00,3.6756,3.6769,3.6752,3.6762
2026-03-05 02:00:00+00:00,3.6762,3.6765,3.6737,3.6743
2026-03-05 02:15:00+00:00,3.6743,3.6779,3.6736,3.6769
2026-03-05 02:30:00+00:00,3.6769,3.6785,3.6762,3.6763
2026-03-05 02:45:00+00:00,3.6763,3.6772,3.6748,3.6768
2026-03-05 03:00:00+00:00,3.6768,3.6786,3.6762,3.6784
2026-03-05 03:15:00+00:00,3.6784,3.6811,3.6781,3.6807
2026-03-05 03:30:00+00:00,3.6806,3.6827,3.6804,3.6814
2026-03-05 03:45:00+00:00,3.6814,3.6829,3.6808,3.6822
2026-03-05 04:00:00+00:00,3.6823,3.6834,3.6816,3.6821
2026-03-05 04:15:00+00:00,3.6821,3.684,3.682,3.684
2026-03-05 04:30:00+00:00,3.684,3.6843,3.6831,3.6838
2026-03-05 04:45:00+00:00,3.6838,3.6846,3.6832,3.6836
2026-03-05 05:00:00+00:00,3.6836,3.6842,3.6824,3.683
2026-03-05 05:15:00+00:00,3.683,3.6841,3.6823,3.6833
2026-03-05 05:30:00+00:00,3.6833,3.6877,3.6832,3.6874
2026-03-05 05:45:00+00:00,3.6874,3.6922,3.6874,3.6921
2026-03-05 06:00:00+00:00,3.6921,3.6944,3.6912,3.6937
2026-03-05 06:15:00+00:00,3.6938,3.6944,3.6915,3.692
2026-03-05 06:30:00+00:00,3.6919,3.6925,3.6893,3.6897
2026-03-05 06:45:00+00:00,3.6896,3.6912,3.6836,3.6837
2026-03-05 07:00:00+00:00,3.6838,3.6877,3.6816,3.6877
2026-03-05 07:15:00+00:00,3.6876,3.6895,3.6855,3.6871
2026-03-05 07:30:00+00:00,3.6872,3.6877,3.6843,3.6855
2026-03-05 07:45:00+00:00,3.6855,3.691,3.6855,3.6892
2026-03-05 08:00:00+00:00,3.6892,3.6963,3.6891,3.6938
2026-03-05 08:15:00+00:00,3.6938,3.6998,3.6903,3.6996
2026-03-05 08:30:00+00:00,3.6996,3.7008,3.6928,3.6933
2026-03-05 08:45:00+00:00,3.6932,3.6934,3.6888,3.6891
2026-03-05 09:00:00+00:00,3.6888,3.6906,3.6685,3.6691
2026-03-05 09:15:00+00:00,3.6692,3.6774,3.6692,3.6756
2026-03-05 09:30:00+00:00,3.6756,3.6824,3.6756,3.6781
2026-03-05 09:45:00+00:00,3.6782,3.6801,3.6767,3.6772
2026-03-05 10:00:00+00:00,3.6773,3.6777,3.6751,3.6768
2026-03-05 10:15:00+00:00,3.6768,3.6793,3.6761,3.6778
2026-03-05 10:30:00+00:00,3.6777,3.6829,3.6775,3.6812
2026-03-05 10:45:00+00:00,3.6812,3.6818,3.6783,3.6794
2026-03-05 11:00:00+00:00,3.6795,3.6808,3.6755,3.6764
2026-03-05 11:15:00+00:00,3.6764,3.6805,3.676,3.6796
2026-03-05 11:30:00+00:00,3.6796,3.6859,3.6793,3.6848
2026-03-05 11:45:00+00:00,3.6848,3.6868,3.6838,3.6849
2026-03-05 12:00:00+00:00,3.6847,3.6883,3.6844,3.6857
2026-03-05 12:15:00+00:00,3.6857,3.6859,3.6769,3.6802
2026-03-05 12:30:00+00:00,3.6802,3.6806,3.6748,3.6768
2026-03-05 12:45:00+00:00,3.6768,3.6818,3.6757,3.6769
2026-03-05 13:00:00+00:00,3.6769,3.6781,3.6753,3.6761
2026-03-05 13:15:00+00:00,3.6761,3.6824,3.6751,3.6818
2026-03-05 13:30:00+00:00,3.6818,3.6868,3.6816,3.6867
2026-03-05 13:45:00+00:00,3.6867,3.6892,3.6848,3.6873
2026-03-05 14:00:00+00:00,3.6874,3.6874,3.6812,3.6846
2026-03-05 14:15:00+00:00,3.6846,3.6869,3.6836,3.6851
2026-03-05 14:30:00+00:00,3.685,3.6872,3.6805,3.6866
2026-03-05 14:45:00+00:00,3.6866,3.6875,3.6774,3.6787
2026-03-05 15:00:00+00:00,3.6787,3.6815,3.676,3.6792
2026-03-05 15:15:00+00:00,3.6792,3.6898,3.6791,3.6889
2026-03-05 15:30:00+00:00,3.6888,3.6927,3.688,3.691
2026-03-05 15:45:00+00:00,3.6909,3.6917,3.6874,3.6877
2026-03-05 16:00:00+00:00,3.6878,3.6987,3.6866,3.6965
2026-03-05 16:15:00+00:00,3.6963,3.7028,3.6959,3.7021
2026-03-05 16:30:00+00:00,3.7022,3.7026,3.6917,3.6922
2026-03-05 16:45:00+00:00,3.6922,3.6948,3.6902,3.6902
2026-03-05 17:00:00+00:00,3.69,3.6925,3.6875,3.6915
2026-03-05 17:15:00+00:00,3.6916,3.6936,3.6879,3.6936
2026-03-05 17:30:00+00:00,3.6938,3.6991,3.6897,3.6927
2026-03-05 17:45:00+00:00,3.6927,3.6953,3.6904,3.6912
2026-03-05 18:00:00+00:00,3.6911,3.6925,3.6901,3.6907
2026-03-05 18:15:00+00:00,3.6907,3.6972,3.6904,3.6944
2026-03-05 18:30:00+00:00,3.6944,3.6954,3.6905,3.6909
2026-03-05 18:45:00+00:00,3.6909,3.6952,3.6908,3.6938
2026-03-05 19:00:00+00:00,3.6938,3.6955,3.6932,3.6949
2026-03-05 19:15:00+00:00,3.6949,3.6987,3.6948,3.6984
2026-03-05 19:30:00+00:00,3.6984,3.7009,3.698,3.6986
2026-03-05 19:45:00+00:00,3.6986,3.7011,3.6984,3.6996
2026-03-05 20:00:00+00:00,3.6996,3.7005,3.6857,3.686
2026-03-05 20:15:00+00:00,3.686,3.6889,3.6831,3.6855
2026-03-05 20:30:00+00:00,3.6854,3.6868,3.6828,3.6845
2026-03-05 20:45:00+00:00,3.6845,3.6863,3.682,3.6842
2026-03-05 21:00:00+00:00,3.6842,3.6851,3.6829,3.6844
2026-03-05 21:15:00+00:00,3.6842,3.6867,3.6841,3.6856
2026-03-05 21:30:00+00:00,3.6856,3.6869,3.685,3.6854
2026-03-05 21:45:00+00:00,3.6854,3.6862,3.6824,3.6825
2026-03-05 22:00:00+00:00,3.6824,3.6843,3.6824,3.6838
2026-03-05 22:15:00+00:00,3.6838,3.6841,3.6832,3.6837
2026-03-05 22:30:00+00:00,3.6839,3.684,3.6835,3.6839
2026-03-05 22:45:00+00:00,3.684,3.6844,3.6837,3.6841
2026-03-05 23:00:00+00:00,3.684,3.6862,3.6838,3.6846
2026-03-05 23:15:00+00:00,3.6846,3.6851,3.6835,3.6844
