trade_id,open_time,close_time,direction,entry_price,exit_price,stake,sl_price,atr,risk_amount,risk_pct,pnl_usd,result,reason,r_multiple,peak_r,balance_before,balance_after
1,2025-09-09 23:45:00,2025-09-10 01:55:00,BUY,5836.397,5892.485,8.58,5779.706,18.897,5.0,5.0,4.14,WIN,CHANDELIER,0.83,4.97,100.0,104.14
2,2025-09-10 02:20:00,2025-09-10 02:55:00,BUY,5938.449,5966.308393,6.59,5860.231071,26.072643,5.21,5.0,2.66,WIN,CHANDELIER,0.51,3.57,104.14,106.8
3,2025-09-10 03:15:00,2025-09-10 04:10:00,BUY,6034.169,5951.245143,20.72,5951.245143,27.641286,8.54,8.0,-8.54,LOSS,SL,-1.0,0.0,106.8,98.26
4,2025-09-10 04:15:00,2025-09-10 05:00:00,BUY,5942.081,5900.787429,18.1,5888.330429,17.916857,4.91,5.0,-3.77,LOSS,CHANDELIER,-0.77,0.7,98.26,94.49
5,2025-09-10 05:05:00,2025-09-10 05:25:00,BUY,5895.844,5842.118071,10.37,5842.118071,17.908643,2.83,3.0,-2.83,LOSS,SL,-1.0,0.0,94.49,91.65
6,2025-09-10 05:30:00,2025-09-10 06:35:00,BUY,5838.256,5818.183643,10.04,5784.958643,17.765786,2.75,3.0,-1.04,LOSS,CHANDELIER,-0.38,1.87,91.65,90.62
7,2025-09-10 06:40:00,2025-09-10 07:05:00,BUY,5818.953,5763.837857,9.57,5763.837857,18.371714,2.72,3.0,-2.72,LOSS,SL,-1.0,0.0,90.62,87.9
8,2025-09-11 00:00:00,2025-09-11 00:40:00,BUY,5401.199,5418.566643,4.59,5349.460571,17.246143,2.64,3.0,1.32,WIN,CHANDELIER,0.5,3.51,87.9,89.22
9,2025-09-11 00:45:00,2025-09-11 01:20:00,BUY,5415.469,5409.750214,7.02,5358.094857,19.124714,4.46,5.0,1.27,WIN,CHANDELIER,0.28,2.2,89.22,90.49
10,2025-09-11 01:25:00,2025-09-11 02:40:00,BUY,5405.786,5379.413071,24.42,5352.366071,17.806643,7.24,8.0,-3.57,LOSS,CHANDELIER,-0.49,1.52,90.49,86.91
11,2025-09-11 03:45:00,2025-09-11 04:10:00,BUY,5429.609,5370.6605,13.34,5370.6605,19.6495,4.35,5.0,-4.34,LOSS,SL,-1.0,0.0,86.91,82.57
12,2025-09-11 04:15:00,2025-09-11 05:30:00,BUY,5353.567,5486.749857,4.32,5302.383786,17.061071,2.48,3.0,4.05,WIN,CHANDELIER,1.64,9.81,82.57,86.62
13,2025-09-11 06:30:00,2025-09-11 08:25:00,BUY,5496.497,5429.590357,11.86,5429.590357,22.302214,4.33,5.0,-4.33,LOSS,SL,-1.0,0.0,86.62,82.29
14,2025-09-12 00:00:00,2025-09-12 00:55:00,BUY,5675.47,5617.868071,12.84,5614.874071,20.198643,4.11,5.0,-3.91,LOSS,CHANDELIER,-0.95,0.15,82.29,78.38
15,2025-09-12 01:00:00,2025-09-12 01:35:00,BUY,5634.137,5597.039857,8.79,5583.875857,16.753714,2.35,3.0,-1.74,LOSS,CHANDELIER,-0.74,0.79,78.38,76.64
16,2025-09-12 01:40:00,2025-09-12 02:15:00,BUY,5574.44,5527.562786,8.68,5525.230786,16.403071,2.3,3.0,-2.19,LOSS,CHANDELIER,-0.95,0.14,76.64,74.45
17,2025-09-12 02:20:00,2025-09-12 02:50:00,BUY,5552.919,5602.436286,4.145,5503.021929,16.632357,2.23,3.0,1.85,WIN,CHANDELIER,0.83,4.98,74.45,76.3
18,2025-09-12 04:05:00,2025-09-12 05:55:00,BUY,5734.758,5722.619929,4.955,5661.142714,24.538429,3.82,5.0,0.96,WIN,CHANDELIER,0.25,2.01,76.3,77.26
19,2025-09-12 07:15:00,2025-09-12 08:00:00,BUY,5752.228,5683.672429,17.29,5683.672429,22.851857,6.18,8.0,-6.18,LOSS,SL,-1.0,0.0,77.26,71.08
20,2025-09-13 00:10:00,2025-09-13 00:40:00,BUY,5330.416,5282.066714,13.06,5282.066714,16.116429,3.55,5.0,-3.55,LOSS,SL,-1.0,0.0,71.08,67.53
21,2025-09-13 00:45:00,2025-09-13 02:05:00,BUY,5328.652,5354.026286,3.47,5276.829143,17.274286,2.03,3.0,1.17,WIN,CHANDELIER,0.58,3.97,67.53,68.7
22,2025-09-13 02:10:00,2025-09-13 02:40:00,BUY,5393.961,5359.0635,9.94,5331.8145,20.7155,3.43,5.0,-1.93,LOSS,CHANDELIER,-0.56,1.32,68.7,66.77
23,2025-09-13 02:45:00,2025-09-13 03:15:00,BUY,5355.175,5297.335429,10.3,5297.335429,19.279857,3.34,5.0,-3.34,LOSS,SL,-1.0,0.0,66.77,63.43
