trade_id,open_time,close_time,direction,entry_price,exit_price,stake,sl_price,atr,risk_amount,risk_pct,pnl_usd,result,reason,r_multiple,peak_r,balance_before,balance_after
1,2025-09-09 23:45:00,2025-09-10 00:10:00,BUY,5145.373,5137.021357,67.27,5132.625357,4.249214,5.0,5.0,-3.28,LOSS,CHANDELIER,-0.66,1.03,100.0,96.72
2,2025-09-10 00:15:00,2025-09-10 01:00:00,BUY,5144.389,5147.381929,30.495,5130.791714,4.532429,4.84,5.0,2.14,WIN,CHANDELIER,0.44,3.16,96.72,98.87
3,2025-09-10 05:10:00,2025-09-10 06:30:00,BUY,5218.252,5205.600143,44.92,5199.111143,6.380286,4.94,5.0,-3.27,LOSS,CHANDELIER,-0.66,1.02,98.87,95.6
4,2025-09-10 06:35:00,2025-09-10 07:00:00,BUY,5206.937,5199.395714,57.85,5192.595714,4.780429,4.78,5.0,-2.51,LOSS,CHANDELIER,-0.53,1.42,95.6,93.09
5,2025-09-10 07:05:00,2025-09-10 07:55:00,BUY,5209.873,5198.855,33.95,5195.59,4.761,2.79,3.0,-2.15,LOSS,CHANDELIER,-0.77,0.69,93.09,90.93
6,2025-09-10 08:30:00,2025-09-10 08:55:00,BUY,5190.747,5199.318143,19.665,5178.745714,4.000429,2.73,3.0,1.88,WIN,CHANDELIER,0.69,4.14,90.93,92.82
7,2025-09-10 09:00:00,2025-09-10 09:45:00,BUY,5202.107,5200.623929,29.04,5188.251714,4.618429,4.64,5.0,1.3,WIN,CHANDELIER,0.28,2.18,92.82,94.12
8,2025-09-11 00:00:00,2025-09-11 01:10:00,BUY,5144.361,5131.045071,96.96,5131.045071,4.438643,7.53,8.0,-7.53,LOSS,SL,-1.0,0.03,94.12,86.59
9,2025-09-11 01:15:00,2025-09-11 02:00:00,BUY,5127.112,5125.682964,28.685,5114.214357,4.299214,4.33,5.0,1.2,WIN,CHANDELIER,0.28,2.17,86.59,87.79
10,2025-09-11 03:25:00,2025-09-11 04:00:00,BUY,5147.377,5133.159857,47.78,5131.612857,5.254714,4.39,5.0,-3.96,LOSS,CHANDELIER,-0.9,0.29,87.79,83.83
11,2025-09-11 04:05:00,2025-09-11 05:00:00,BUY,5134.602,5151.822,26.145,5120.8815,4.5735,4.19,5.0,4.03,WIN,CHANDELIER,0.96,5.77,83.83,87.86
12,2025-09-11 13:55:00,2025-09-11 14:55:00,BUY,5155.005,5151.176143,73.27,5144.702143,3.434286,4.39,5.0,-1.63,LOSS,CHANDELIER,-0.37,1.89,87.86,86.23
13,2025-09-11 15:00:00,2025-09-11 15:30:00,BUY,5153.702,5140.129143,54.57,5140.129143,4.524286,4.31,5.0,-4.31,LOSS,SL,-1.0,0.0,86.23,81.91
14,2025-09-12 00:15:00,2025-09-12 00:40:00,BUY,5160.396,5146.831714,31.16,5146.831714,4.521429,2.46,3.0,-2.46,LOSS,SL,-1.0,0.0,81.91,79.46
15,2025-09-12 00:45:00,2025-09-12 01:25:00,BUY,5152.342,5150.606393,16.005,5139.554071,4.262643,2.38,3.0,0.63,WIN,CHANDELIER,0.27,2.09,79.46,80.09
16,2025-09-12 01:30:00,2025-09-12 02:05:00,BUY,5144.651,5131.349429,51.63,5131.349429,4.433857,4.0,5.0,-4.0,LOSS,SL,-1.0,0.0,80.09,76.09
17,2025-09-12 02:10:00,2025-09-12 02:15:00,BUY,5127.007,5139.295286,32.695,5117.063929,3.314357,3.8,5.0,3.62,WIN,CHANDELIER,0.95,5.71,76.09,79.7
18,2025-09-12 03:00:00,2025-09-12 04:10:00,BUY,5154.837,5154.516571,18.86,5136.685286,6.050571,3.99,5.0,1.29,WIN,CHANDELIER,0.32,2.45,79.7,81.0
19,2025-09-12 04:15:00,2025-09-12 04:45:00,BUY,5163.723,5147.597357,69.16,5147.597357,5.375214,6.48,8.0,-6.48,LOSS,SL,-1.0,0.0,81.0,74.52
20,2025-09-13 00:05:00,2025-09-13 00:50:00,BUY,5350.271,5333.016071,38.51,5333.016071,5.751643,3.73,5.0,-3.73,LOSS,SL,-1.0,0.0,74.52,70.79
21,2025-09-13 00:55:00,2025-09-13 01:05:00,BUY,5327.211,5327.228179,17.47,5316.417214,3.597929,2.12,3.0,0.71,WIN,CHANDELIER,0.33,2.5,70.79,71.5
