trade_id,open_time,close_time,direction,entry_price,exit_price,stake,sl_price,atr,risk_amount,risk_pct,pnl_usd,result,reason,r_multiple,peak_r,balance_before,balance_after
1,2025-09-10 09:10:00,2025-09-10 10:15:00,SELL,5462.11,5473.623571,79.07,5473.623571,3.837857,5.0,5.0,-5.0,LOSS,SL,-1.0,0.25,100.0,95.0
2,2025-09-10 10:20:00,2025-09-10 10:45:00,SELL,5475.358,5481.906357,132.39,5481.906357,2.182786,4.75,5.0,-4.75,LOSS,SL,-1.0,0.0,95.0,90.25
3,2025-09-10 10:50:00,2025-09-10 11:05:00,SELL,5485.135,5485.919786,49.86,5490.099143,1.654714,2.71,3.0,0.69,WIN,CHANDELIER,0.25,2.03,90.25,90.94
4,2025-09-10 22:40:00,2025-09-10 23:30:00,SELL,5480.752,5490.041286,89.42,5490.041286,3.096429,4.55,5.0,-4.55,LOSS,SL,-1.0,0.0,90.94,86.39
5,2025-09-10 23:35:00,2025-09-11 00:25:00,SELL,5493.06,5482.44,45.19,5501.811,2.917,4.32,5.0,4.06,WIN,CHANDELIER,0.94,5.64,86.39,90.45
6,2025-09-11 00:30:00,2025-09-11 01:05:00,SELL,5479.21,5486.428286,82.95,5489.168286,3.319429,4.52,5.0,-3.28,LOSS,CHANDELIER,-0.72,0.83,90.45,87.17
7,2025-09-11 13:00:00,2025-09-11 13:35:00,SELL,5470.59,5466.284,44.665,5479.488,2.966,4.36,5.0,2.51,WIN,CHANDELIER,0.58,3.95,87.17,89.68
8,2025-09-11 19:25:00,2025-09-11 19:40:00,SELL,5437.124,5436.982036,40.49,5447.159643,3.345214,4.48,5.0,1.53,WIN,CHANDELIER,0.34,2.54,89.68,91.21
9,2025-09-11 19:45:00,2025-09-11 20:15:00,SELL,5431.461,5440.581214,144.85,5440.581214,3.040071,7.3,8.0,-7.3,LOSS,SL,-1.0,0.0,91.21,83.91
10,2025-09-11 20:20:00,2025-09-11 22:05:00,SELL,5434.618,5439.656929,80.59,5444.048929,3.143643,4.2,5.0,-2.24,LOSS,CHANDELIER,-0.53,1.4,83.91,81.67
11,2025-09-12 04:10:00,2025-09-12 04:35:00,SELL,5467.667,5455.284857,32.375,5474.563786,2.298929,2.45,3.0,3.02,WIN,CHANDELIER,1.23,7.39,81.67,84.69
12,2025-09-12 04:45:00,2025-09-12 05:35:00,SELL,5452.137,5448.667214,36.715,5462.616857,3.493286,4.23,5.0,2.11,WIN,CHANDELIER,0.5,3.49,84.69,86.8
13,2025-09-12 05:45:00,2025-09-12 06:45:00,SELL,5438.172,5449.149643,114.66,5449.149643,3.659214,6.94,8.0,-6.94,LOSS,SL,-1.0,0.03,86.8,79.85
14,2025-09-12 14:35:00,2025-09-12 15:15:00,SELL,5465.075,5464.369357,40.085,5474.147429,3.024143,3.99,5.0,1.49,WIN,CHANDELIER,0.37,2.73,79.85,81.34
15,2025-09-12 15:20:00,2025-09-12 15:55:00,SELL,5459.702,5467.812286,91.26,5467.812286,2.703429,4.07,5.0,-4.07,LOSS,SL,-1.0,0.0,81.34,77.27
16,2025-09-12 16:00:00,2025-09-12 16:15:00,SELL,5463.88,5457.75,40.575,5472.5515,2.8905,3.86,5.0,2.65,WIN,CHANDELIER,0.69,4.12,77.27,79.93
17,2025-09-13 10:25:00,2025-09-13 11:15:00,SELL,5398.466,5403.147786,84.98,5406.928786,2.820929,4.0,5.0,-2.21,LOSS,CHANDELIER,-0.55,1.34,79.93,77.72
18,2025-09-13 11:20:00,2025-09-13 11:55:00,SELL,5387.075,5393.997929,72.29,5396.727929,3.217643,3.89,5.0,-2.79,LOSS,CHANDELIER,-0.72,0.85,77.72,74.93
19,2025-09-13 12:00:00,2025-09-13 12:40:00,SELL,5396.753,5395.940286,23.37,5405.404143,2.883714,2.25,3.0,0.85,WIN,CHANDELIER,0.38,2.78,74.93,75.78
20,2025-09-13 19:00:00,2025-09-13 19:25:00,SELL,5387.959,5394.048571,111.75,5394.048571,2.029857,3.79,5.0,-3.79,LOSS,SL,-1.0,0.16,75.78,72.0
