trade_id,open_time,close_time,direction,entry_price,exit_price,stake,sl_price,atr,risk_amount,risk_pct,pnl_usd,result,reason,r_multiple,peak_r,balance_before,balance_after
1,2025-09-10 01:15:00,2025-09-10 02:10:00,SELL,2729.421,2723.320357,7.88,2758.287429,9.622143,5.0,5.0,2.2,WIN,CHANDELIER,0.44,3.13,100.0,102.2
2,2025-09-10 02:15:00,2025-09-10 03:40:00,SELL,2727.731,2747.924214,14.27,2760.287214,10.852071,5.11,5.0,-3.17,LOSS,CHANDELIER,-0.62,1.14,102.2,99.03
3,2025-09-10 03:45:00,2025-09-10 04:35:00,SELL,2758.196,2788.073,15.24,2788.073,9.959,4.95,5.0,-4.95,LOSS,SL,-1.0,0.0,99.03,94.07
4,2025-09-10 04:40:00,2025-09-10 04:50:00,SELL,2798.02,2801.397,5.43,2822.266,8.082,2.82,3.0,0.74,WIN,CHANDELIER,0.26,2.08,94.07,94.82
5,2025-09-10 04:55:00,2025-09-10 05:10:00,SELL,2780.796,2775.7645,7.69,2809.365,9.523,4.74,5.0,2.0,WIN,CHANDELIER,0.42,3.03,94.82,96.82
6,2025-09-10 05:20:00,2025-09-10 05:30:00,SELL,2761.44,2756.530429,11.17,2793.355714,10.638571,7.75,8.0,3.18,WIN,CHANDELIER,0.41,2.96,96.82,99.99
7,2025-09-11 00:25:00,2025-09-11 00:50:00,SELL,2491.779,2508.218643,26.56,2516.790643,8.337214,8.0,8.0,-5.26,LOSS,CHANDELIER,-0.66,1.03,99.99,94.74
8,2025-09-11 00:55:00,2025-09-11 01:20:00,SELL,2510.566,2531.279714,19.14,2531.279714,6.904571,4.74,5.0,-4.74,LOSS,SL,-1.0,0.0,94.74,90.0
9,2025-09-11 01:25:00,2025-09-11 02:20:00,SELL,2540.75,2549.679286,10.34,2562.867286,7.372429,2.7,3.0,-1.09,LOSS,CHANDELIER,-0.4,1.79,90.0,88.91
10,2025-09-11 02:30:00,2025-09-11 03:05:00,SELL,2557.674,2576.973786,9.82,2580.824786,7.716929,2.67,3.0,-2.22,LOSS,CHANDELIER,-0.83,0.5,88.91,86.69
11,2025-09-11 03:10:00,2025-09-11 03:15:00,SELL,2571.712,2556.202571,5.005,2593.993857,7.427286,2.6,3.0,1.77,WIN,CHANDELIER,0.68,4.09,86.69,88.46
12,2025-09-11 03:20:00,2025-09-11 03:50:00,SELL,2549.251,2577.6925,13.21,2577.6925,9.4805,4.42,5.0,-4.42,LOSS,SL,-1.0,0.0,88.46,84.04
13,2025-09-12 00:20:00,2025-09-12 01:10:00,SELL,2488.628,2469.821,7.15,2512.997,8.123,4.2,5.0,3.02,WIN,CHANDELIER,0.72,4.32,84.04,87.06
14,2025-09-12 01:25:00,2025-09-12 02:05:00,SELL,2461.631,2406.441571,6.145,2490.704857,9.691286,4.35,5.0,5.58,WIN,CHANDELIER,1.28,7.69,87.06,92.64
15,2025-09-12 03:25:00,2025-09-12 04:15:00,SELL,2340.765,2343.564643,10.155,2369.240571,9.491857,7.41,8.0,2.11,WIN,CHANDELIER,0.28,2.21,92.64,94.75
16,2025-09-12 04:20:00,2025-09-12 04:50:00,SELL,2342.233,2366.496357,24.39,2366.496357,8.087786,7.58,8.0,-7.58,LOSS,SL,-1.0,0.0,94.75,87.17
17,2025-09-12 11:15:00,2025-09-12 11:55:00,SELL,2367.909,2385.461714,16.98,2388.169714,6.753571,4.36,5.0,-3.78,LOSS,CHANDELIER,-0.87,0.4,87.17,83.39
18,2025-09-12 12:05:00,2025-09-12 13:25:00,SELL,2367.811,2342.720143,4.115,2391.809714,7.999571,2.5,3.0,2.14,WIN,CHANDELIER,0.86,5.14,83.39,85.54
19,2025-09-13 00:00:00,2025-09-13 00:15:00,SELL,2337.497,2339.327429,8.465,2357.184714,6.562571,4.28,5.0,1.23,WIN,CHANDELIER,0.29,2.22,85.54,86.76
20,2025-09-13 00:20:00,2025-09-13 00:40:00,SELL,2332.958,2355.370143,24.08,2355.370143,7.470714,6.94,8.0,-6.94,LOSS,SL,-1.0,0.0,86.76,79.82
21,2025-09-13 00:45:00,2025-09-13 02:05:00,SELL,2361.598,2369.353643,15.61,2381.722643,6.708214,3.99,5.0,-1.54,LOSS,CHANDELIER,-0.39,1.84,79.82,78.29
22,2025-09-13 02:30:00,2025-09-13 02:40:00,SELL,2370.604,2353.870857,4.07,2393.415786,7.603929,2.35,3.0,1.65,WIN,CHANDELIER,0.7,4.2,78.29,79.93
23,2025-09-13 02:45:00,2025-09-13 04:05:00,SELL,2335.486,2339.500357,5.665,2362.948429,9.154143,4.0,5.0,1.04,WIN,CHANDELIER,0.26,2.06,79.93,80.97
24,2025-09-13 04:10:00,2025-09-13 04:40:00,SELL,2323.519,2350.649929,18.49,2350.649929,9.043643,6.48,8.0,-6.48,LOSS,SL,-1.0,0.0,80.97,74.49
25,2025-09-14 00:00:00,2025-09-14 00:10:00,SELL,2233.521,2242.372071,10.79,2259.223071,8.567357,3.72,5.0,-1.28,LOSS,CHANDELIER,-0.34,1.97,74.49,73.21
26,2025-09-14 00:15:00,2025-09-14 02:15:00,SELL,2201.26,2230.824357,5.45,2230.824357,9.854786,2.2,3.0,-2.2,LOSS,SL,-1.0,0.16,73.21,71.01
27,2025-09-14 02:20:00,2025-09-14 03:50:00,SELL,2209.135,2200.248571,3.37,2232.395286,7.753429,2.13,3.0,1.12,WIN,CHANDELIER,0.52,3.65,71.01,72.13
28,2025-09-14 03:55:00,2025-09-14 05:40:00,SELL,2195.073,2190.013357,5.87,2217.555429,7.494143,3.61,5.0,1.61,WIN,CHANDELIER,0.45,3.18,72.13,73.74
