trade_id,open_time,close_time,direction,entry_price,exit_price,stake,sl_price,atr,risk_amount,risk_pct,pnl_usd,result,reason,r_multiple,peak_r,balance_before,balance_after
1,2025-09-17 13:50:00,2025-09-17 15:25:00,SELL,5888.211,5875.2097,5318.385,5890.9789,2.7679,500.0,5.0,1674.31,WIN,CHANDELIER,3.35,6.7,10000.0,11674.31
2,2025-10-03 18:30:00,2025-10-03 18:35:00,BUY,5936.704,5933.6626,11394.08,5933.6626,3.0414,583.72,5.0,-583.72,LOSS,SL,-1.0,0.0,11674.31,11090.59
3,2025-10-17 12:45:00,2025-10-17 13:05:00,SELL,5662.397,5664.8364,12872.11,5664.8364,2.4394,554.53,5.0,-554.53,LOSS,SL,-1.0,0.79,11090.59,10536.06
4,2025-10-17 15:30:00,2025-10-17 17:30:00,SELL,5656.87,5649.1199,3594.14,5659.3574,2.4874,316.08,3.0,808.49,WIN,CHANDELIER,2.56,5.12,10536.06,11344.56
5,2025-10-20 17:55:00,2025-10-20 18:10:00,BUY,5670.131,5667.6384,12903.0,5667.6384,2.4926,567.23,5.0,-567.23,LOSS,SL,-1.0,0.72,11344.56,10777.33
6,2025-10-22 09:15:00,2025-10-22 09:35:00,BUY,5721.998,5719.3489,11639.21,5719.3489,2.6491,538.87,5.0,-538.87,LOSS,SL,-1.0,0.49,10777.33,10238.46
7,2025-10-30 15:45:00,2025-10-30 16:25:00,SELL,5653.921,5646.6819,4355.87,5655.9144,1.9934,307.15,3.0,864.87,WIN,CHANDELIER,2.82,5.63,10238.46,11103.33
8,2025-11-02 18:20:00,2025-11-02 20:00:00,SELL,5646.807,5628.3871,6459.565,5649.2336,2.4266,555.17,5.0,2662.27,WIN,CHANDELIER,4.8,9.59,11103.33,13765.61
9,2025-11-04 17:55:00,2025-11-04 18:10:00,SELL,5591.168,5593.7712,23652.55,5593.7712,2.6032,1101.25,8.0,-1101.25,LOSS,SL,-1.0,0.2,13765.61,12664.36
10,2025-11-07 15:15:00,2025-11-07 15:30:00,SELL,5563.448,5566.0543,13516.84,5566.0543,2.6063,633.22,5.0,-633.22,LOSS,SL,-1.0,0.7,12664.36,12031.14
11,2025-11-16 09:35:00,2025-11-16 10:35:00,BUY,5489.207,5489.9361,3918.045,5486.6786,2.5284,360.93,3.0,412.98,WIN,CHANDELIER,1.14,2.79,12031.14,12444.12
12,2025-11-22 13:40:00,2025-11-22 16:40:00,SELL,5501.578,5483.9439,7069.835,5503.9989,2.4209,622.21,5.0,2888.29,WIN,CHANDELIER,4.64,9.28,12444.12,15332.41
13,2025-11-30 12:20:00,2025-11-30 13:55:00,BUY,5430.102,5429.2034,12630.69,5427.4654,2.6366,1226.59,8.0,1017.57,WIN,CHANDELIER,0.83,2.16,15332.41,16349.98
14,2025-12-04 10:30:00,2025-12-04 10:40:00,BUY,5451.967,5449.5459,29454.58,5449.5459,2.4211,1308.0,8.0,-1308.0,LOSS,SL,-1.0,0.35,16349.98,15041.98
15,2025-12-04 16:10:00,2025-12-04 16:15:00,BUY,5472.062,5469.7687,17946.01,5469.7687,2.2933,752.1,5.0,-752.1,LOSS,SL,-1.0,0.0,15041.98,14289.88
16,2025-12-14 09:00:00,2025-12-14 10:45:00,BUY,5553.013,5552.4274,3806.89,5549.8864,3.1266,428.7,3.0,388.55,WIN,CHANDELIER,0.91,2.31,14289.88,14678.43
17,2025-12-23 10:40:00,2025-12-23 11:45:00,BUY,5599.874,5597.5362,17580.18,5597.5362,2.3378,733.92,5.0,-733.92,LOSS,SL,-1.0,1.95,14678.43,13944.51
18,2026-01-07 13:50:00,2026-01-07 15:50:00,BUY,5764.541,5777.0547,6280.68,5761.3414,3.1996,697.23,5.0,2060.64,WIN,CHANDELIER,2.96,5.91,13944.51,16005.15
19,2026-01-07 16:55:00,2026-01-07 17:10:00,BUY,5780.022,5777.3639,17401.74,5777.3639,2.6581,800.26,5.0,-800.26,LOSS,SL,-1.0,0.24,16005.15,15204.89
20,2026-01-08 16:25:00,2026-01-08 16:35:00,BUY,5769.73,5767.0229,16203.08,5767.0229,2.7071,760.24,5.0,-760.24,LOSS,SL,-1.0,0.0,15204.89,14444.65
21,2026-01-11 18:35:00,2026-01-11 19:20:00,BUY,5801.501,5798.6283,8751.37,5798.6283,2.8727,433.34,3.0,-433.34,LOSS,SL,-1.0,1.56,14444.65,14011.31
22,2026-01-13 12:00:00,2026-01-13 12:20:00,SELL,5728.877,5731.7744,8311.27,5731.7744,2.8974,420.34,3.0,-420.34,LOSS,SL,-1.0,0.33,14011.31,13590.97
23,2026-01-22 18:40:00,2026-01-22 18:45:00,SELL,5609.443,5611.8674,9433.98,5611.8674,2.4244,407.73,3.0,-407.73,LOSS,SL,-1.0,0.0,13590.97,13183.24
24,2026-02-20 10:00:00,2026-02-20 10:10:00,SELL,5130.934,5133.0088,9780.63,5133.0088,2.0748,395.5,3.0,-395.5,LOSS,SL,-1.0,0.17,13183.24,12787.74
25,2026-02-20 12:10:00,2026-02-20 13:40:00,SELL,5126.451,5117.1007,4321.68,5128.7264,2.2754,383.63,3.0,1171.88,WIN,CHANDELIER,3.05,6.11,12787.74,13959.62
26,2026-03-03 15:15:00,2026-03-03 17:00:00,BUY,5027.473,5026.8624,8056.27,5025.2951,2.1779,697.98,5.0,600.13,WIN,CHANDELIER,0.86,2.22,13959.62,14559.75
27,2026-03-28 09:20:00,2026-03-28 09:50:00,SELL,5125.021,5125.7702,12093.495,5127.4891,2.4681,1164.78,8.0,988.0,WIN,CHANDELIER,0.85,2.2,14559.75,15547.75
