trade_id,open_time,close_time,direction,entry_price,exit_price,stake,sl_price,atr,risk_amount,risk_pct,pnl_usd,result,reason,r_multiple,peak_r,balance_before,balance_after
1,2025-09-21 17:00:00,2025-09-21 18:10:00,BUY,8175.9,8176.3964,8106.415,8173.3786,2.5214,500.0,5.0,549.22,WIN,CHANDELIER,1.1,2.7,10000.0,10549.22
2,2025-10-18 10:50:00,2025-10-18 12:20:00,BUY,8110.8,8110.4393,8028.665,8108.1357,2.6643,527.46,5.0,491.75,WIN,CHANDELIER,0.93,2.36,10549.22,11040.98
3,2025-10-20 09:55:00,2025-10-20 12:20:00,BUY,8127.8,8147.0,12819.835,8125.0,2.8,883.28,8.0,3911.66,WIN,CHANDELIER,4.43,8.86,11040.98,14952.64
4,2025-11-01 15:05:00,2025-11-01 16:50:00,SELL,8087.0,8083.9464,16238.92,8089.9786,2.9786,1196.21,8.0,1809.38,WIN,CHANDELIER,1.51,3.53,14952.64,16762.01
5,2025-11-05 12:55:00,2025-11-05 15:40:00,SELL,8093.8,8084.9714,14723.7,8097.4857,3.6857,1340.96,8.0,2947.0,WIN,CHANDELIER,2.2,4.4,16762.01,19709.01
6,2025-11-09 13:30:00,2025-11-09 13:35:00,BUY,8135.8,8133.1929,49202.84,8133.1929,2.6071,1576.72,8.0,-1576.72,LOSS,SL,-1.0,0.0,19709.01,18132.29
7,2025-11-10 10:35:00,2025-11-10 11:20:00,BUY,8136.4,8136.8964,14627.775,8133.8786,2.5214,906.61,5.0,995.86,WIN,CHANDELIER,1.1,2.7,18132.29,19128.15
8,2025-11-24 10:40:00,2025-11-24 11:55:00,BUY,8032.6,8034.7321,14189.2,8029.8929,2.7071,956.41,5.0,1333.04,WIN,CHANDELIER,1.39,3.29,19128.15,20461.19
9,2025-11-26 09:00:00,2025-11-26 09:20:00,BUY,8071.7,8068.9929,48806.17,8068.9929,2.7071,1636.9,8.0,-1636.9,LOSS,SL,-1.0,0.59,20461.19,18824.3
10,2025-11-30 15:55:00,2025-11-30 17:55:00,BUY,8105.5,8104.45,14127.81,8102.8,2.7,941.21,5.0,758.2,WIN,CHANDELIER,0.81,2.11,18824.3,19582.5
11,2025-12-02 15:20:00,2025-12-02 16:50:00,BUY,8110.5,8114.0071,16844.955,8108.1429,2.3571,979.12,5.0,1707.53,WIN,CHANDELIER,1.74,3.99,19582.5,21290.03
12,2025-12-18 09:30:00,2025-12-18 11:15:00,BUY,7890.5,7905.0429,20812.795,7887.2714,3.2286,1703.2,8.0,5539.18,WIN,CHANDELIER,3.25,6.5,21290.03,26829.21
13,2025-12-19 16:45:00,2025-12-19 17:40:00,SELL,7862.7,7865.7214,55854.38,7865.7214,3.0214,2146.34,8.0,-2146.34,LOSS,SL,-1.0,0.86,26829.21,24682.87
14,2025-12-22 16:00:00,2025-12-22 17:05:00,SELL,7817.7,7812.6571,22663.47,7819.8286,2.1286,1234.14,5.0,2696.06,WIN,CHANDELIER,2.18,4.37,24682.87,27378.94
15,2026-01-06 10:25:00,2026-01-06 10:35:00,SELL,7801.1,7803.5786,43086.48,7803.5786,2.4786,1368.95,5.0,-1368.95,LOSS,SL,-1.0,0.28,27378.94,26009.99
16,2026-01-21 12:00:00,2026-01-21 13:15:00,SELL,7723.3,7719.7071,19002.44,7725.9429,2.6429,1300.5,5.0,2184.49,WIN,CHANDELIER,1.68,3.86,26009.99,28194.48
17,2026-02-08 17:35:00,2026-02-08 18:20:00,SELL,7841.9,7844.5714,41382.03,7844.5714,2.6714,1409.72,5.0,-1409.72,LOSS,SL,-1.0,1.5,28194.48,26784.75
18,2026-02-21 13:20:00,2026-02-21 14:05:00,BUY,7916.9,7914.3,40779.27,7914.3,2.6,1339.24,5.0,-1339.24,LOSS,SL,-1.0,1.58,26784.75,25445.51
19,2026-02-23 15:50:00,2026-02-23 16:00:00,BUY,7958.7,7955.9714,22265.85,7955.9714,2.7286,763.37,3.0,-763.37,LOSS,SL,-1.0,0.51,25445.51,24682.15
20,2026-03-04 18:05:00,2026-03-04 18:25:00,SELL,7791.7,7794.1714,23344.7,7794.1714,2.4714,740.46,3.0,-740.46,LOSS,SL,-1.0,0.12,24682.15,23941.68
21,2026-03-11 09:35:00,2026-03-11 14:15:00,BUY,7900.9,7916.6571,10056.655,7898.0786,2.8214,718.25,3.0,2723.9,WIN,CHANDELIER,3.79,7.58,23941.68,26665.58
22,2026-03-20 10:45:00,2026-03-20 12:15:00,BUY,7958.1,7966.7143,20073.67,7955.4571,2.6429,1333.28,5.0,3506.16,WIN,CHANDELIER,2.63,5.26,26665.58,30171.75
23,2026-03-20 13:50:00,2026-03-20 15:25:00,BUY,7970.5,7973.8821,34267.425,7967.6929,2.8071,2413.74,8.0,3867.82,WIN,CHANDELIER,1.6,3.7,30171.75,34039.56
24,2026-03-25 16:55:00,2026-03-25 18:55:00,SELL,8025.9,8016.8286,45263.595,8028.3143,2.4143,2723.17,8.0,7839.17,WIN,CHANDELIER,2.88,5.76,34039.56,41878.73
