trade_id,open_time,close_time,direction,entry_price,exit_price,stake,sl_price,atr,risk_amount,risk_pct,pnl_usd,result,reason,r_multiple,peak_r,balance_before,balance_after
1,2025-10-18 10:50:00,2025-10-18 12:20:00,BUY,8110.8,8110.4393,7610.67,8108.1357,2.6643,500.0,5.0,466.15,WIN,CHANDELIER,0.93,2.36,10000.0,10466.15
2,2025-10-20 09:55:00,2025-10-20 12:20:00,BUY,8127.8,8147.0,7595.25,8125.0,2.8,523.31,5.0,2317.51,WIN,CHANDELIER,4.43,8.86,10466.15,12783.66
3,2025-11-01 15:05:00,2025-11-01 16:50:00,SELL,8087.0,8083.9464,13883.36,8089.9786,2.9786,1022.69,8.0,1546.91,WIN,CHANDELIER,1.51,3.53,12783.66,14330.57
4,2025-11-05 12:55:00,2025-11-05 15:40:00,SELL,8093.8,8084.9714,12587.93,8097.4857,3.6857,1146.45,8.0,2519.51,WIN,CHANDELIER,2.2,4.4,14330.57,16850.09
5,2025-11-09 13:30:00,2025-11-09 13:35:00,BUY,8135.8,8133.1929,42065.65,8133.1929,2.6071,1348.01,8.0,-1348.01,LOSS,SL,-1.0,0.0,16850.09,15502.08
6,2025-11-10 10:35:00,2025-11-10 11:20:00,BUY,8136.4,8136.8964,12505.92,8133.8786,2.5214,775.1,5.0,851.41,WIN,CHANDELIER,1.1,2.7,15502.08,16353.49
7,2025-11-24 10:40:00,2025-11-24 11:55:00,BUY,8032.6,8034.7321,12130.965,8029.8929,2.7071,817.67,5.0,1139.67,WIN,CHANDELIER,1.39,3.29,16353.49,17493.16
8,2025-11-26 09:00:00,2025-11-26 09:20:00,BUY,8071.7,8068.9929,41726.52,8068.9929,2.7071,1399.45,8.0,-1399.45,LOSS,SL,-1.0,0.59,17493.16,16093.71
9,2025-11-30 15:55:00,2025-11-30 17:55:00,BUY,8105.5,8104.45,12078.475,8102.8,2.7,804.69,5.0,648.22,WIN,CHANDELIER,0.81,2.11,16093.71,16741.93
10,2025-12-02 15:20:00,2025-12-02 16:50:00,BUY,8110.5,8114.0071,14401.48,8108.1429,2.3571,837.1,5.0,1459.85,WIN,CHANDELIER,1.74,3.99,16741.93,18201.77
11,2025-12-18 09:30:00,2025-12-18 11:15:00,BUY,7890.5,7905.0429,17793.76,7887.2714,3.2286,1456.14,8.0,4735.68,WIN,CHANDELIER,3.25,6.5,18201.77,22937.45
12,2025-12-19 16:45:00,2025-12-19 17:40:00,SELL,7862.7,7865.7214,47752.33,7865.7214,3.0214,1835.0,8.0,-1835.0,LOSS,SL,-1.0,0.86,22937.45,21102.46
13,2025-12-22 16:00:00,2025-12-22 17:05:00,SELL,7817.7,7812.6571,19375.985,7819.8286,2.1286,1055.12,5.0,2304.98,WIN,CHANDELIER,2.18,4.37,21102.46,23407.44
14,2026-01-06 10:25:00,2026-01-06 10:35:00,SELL,7801.1,7803.5786,36836.5,7803.5786,2.4786,1170.37,5.0,-1170.37,LOSS,SL,-1.0,0.28,23407.44,22237.07
15,2026-01-21 12:00:00,2026-01-21 13:15:00,SELL,7723.3,7719.7071,16246.01,7725.9429,2.6429,1111.85,5.0,1867.61,WIN,CHANDELIER,1.68,3.86,22237.07,24104.68
16,2026-02-08 17:35:00,2026-02-08 18:20:00,SELL,7841.9,7844.5714,35379.29,7844.5714,2.6714,1205.23,5.0,-1205.23,LOSS,SL,-1.0,1.5,24104.68,22899.45
17,2026-02-21 13:20:00,2026-02-21 14:05:00,BUY,7916.9,7914.3,34863.97,7914.3,2.6,1144.97,5.0,-1144.97,LOSS,SL,-1.0,1.58,22899.45,21754.47
18,2026-02-23 15:50:00,2026-02-23 16:00:00,BUY,7958.7,7955.9714,19036.04,7955.9714,2.7286,652.63,3.0,-652.63,LOSS,SL,-1.0,0.51,21754.47,21101.84
19,2026-03-04 18:05:00,2026-03-04 18:25:00,SELL,7791.7,7794.1714,19958.4,7794.1714,2.4714,633.06,3.0,-633.06,LOSS,SL,-1.0,0.12,21101.84,20468.79
