date,dir,entry,atr,pnl,r,peak_r,result,reason,month,year
2023-07-18,SELL,0.68076,0.00127,-500.0,-1.0,0.08,LOSS,SL,2023-07,2023
2023-07-21,SELL,0.67573,0.0011,803.16,1.61,3.71,WIN,CHANDELIER,2023-07,2023
2023-07-24,BUY,0.67432,0.00105,-500.0,-1.0,1.34,LOSS,SL,2023-07,2023
2023-08-03,SELL,0.65188,0.00122,-500.0,-1.0,0.0,LOSS,SL,2023-08,2023
2023-08-07,SELL,0.65642,0.00123,-500.0,-1.0,0.59,LOSS,SL,2023-08,2023
2023-08-10,BUY,0.65617,0.00091,1465.67,2.93,5.86,WIN,CHANDELIER,2023-08,2023
2023-08-24,SELL,0.64587,0.00104,1333.6,2.67,5.33,WIN,CHANDELIER,2023-08,2023
2023-08-25,BUY,0.64253,0.0009,-500.0,-1.0,0.89,LOSS,SL,2023-08,2023
2023-08-28,SELL,0.64094,0.00116,-500.0,-1.0,0.54,LOSS,SL,2023-08,2023
2023-09-19,BUY,0.64533,0.00079,590.24,1.18,2.86,WIN,CHANDELIER,2023-09,2023
2023-09-20,BUY,0.64717,0.00081,1282.76,2.57,5.13,WIN,CHANDELIER,2023-09,2023
2023-09-22,BUY,0.64336,0.00092,766.57,1.53,3.57,WIN,CHANDELIER,2023-09,2023
2023-10-12,SELL,0.6412,0.00097,823.11,1.65,3.79,WIN,CHANDELIER,2023-10,2023
2023-10-20,SELL,0.63003,0.00106,-500.0,-1.0,0.0,LOSS,SL,2023-10,2023
2023-10-23,SELL,0.63072,0.00071,-500.0,-1.0,0.0,LOSS,SL,2023-10,2023
2023-10-26,BUY,0.631,0.00128,1143.97,2.29,4.58,WIN,CHANDELIER,2023-10,2023
2023-10-27,BUY,0.63512,0.00101,-500.0,-1.0,0.69,LOSS,SL,2023-10,2023
2023-11-03,BUY,0.64436,0.00075,-500.0,-1.0,0.0,LOSS,SL,2023-11,2023
2023-11-13,BUY,0.63736,0.00082,-500.0,-1.0,1.52,LOSS,SL,2023-11,2023
2023-11-15,BUY,0.65107,0.00107,250.0,0.5,2.09,WIN,SL,2023-11,2023
2023-11-17,BUY,0.64784,0.00096,804.17,1.61,3.72,WIN,CHANDELIER,2023-11,2023
2023-11-27,BUY,0.65958,0.00094,387.36,0.77,2.05,WIN,CHANDELIER,2023-11,2023
2023-11-30,SELL,0.66144,0.00128,250.0,0.5,3.27,WIN,SL,2023-11,2023
2023-12-01,BUY,0.66316,0.00112,-500.0,-1.0,0.0,LOSS,SL,2023-12,2023
2023-12-19,BUY,0.67322,0.00104,742.93,1.49,3.47,WIN,CHANDELIER,2023-12,2023
2023-12-28,SELL,0.68314,0.00116,-500.0,-1.0,0.0,LOSS,SL,2023-12,2023
2023-12-29,SELL,0.68226,0.00092,1093.34,2.19,4.37,WIN,CHANDELIER,2023-12,2023
2024-01-03,SELL,0.67505,0.00093,1261.67,2.52,5.05,WIN,CHANDELIER,2024-01,2024
2024-01-05,SELL,0.66831,0.00107,822.0,1.64,3.79,WIN,CHANDELIER,2024-01,2024
2024-01-15,SELL,0.66715,0.00089,1239.43,2.48,4.96,WIN,CHANDELIER,2024-01,2024
2024-01-19,BUY,0.65998,0.00099,-500.0,-1.0,0.26,LOSS,SL,2024-01,2024
2024-01-24,BUY,0.65932,0.0009,616.29,1.23,2.97,WIN,CHANDELIER,2024-01,2024
2024-01-25,BUY,0.65873,0.00086,430.47,0.86,2.22,WIN,CHANDELIER,2024-01,2024
2024-01-29,BUY,0.65999,0.00081,-500.0,-1.0,0.96,LOSS,SL,2024-01,2024
2024-01-30,SELL,0.66032,0.00098,563.89,1.13,2.76,WIN,CHANDELIER,2024-01,2024
2024-02-01,SELL,0.65328,0.00169,-500.0,-1.0,1.38,LOSS,SL,2024-02,2024
2024-02-08,SELL,0.65111,0.00075,855.81,1.71,3.92,WIN,CHANDELIER,2024-02,2024
2024-02-09,BUY,0.65065,0.00073,805.59,1.61,3.72,WIN,CHANDELIER,2024-02,2024
2024-02-12,SELL,0.65144,0.00065,-500.0,-1.0,0.14,LOSS,SL,2024-02,2024
2024-02-20,BUY,0.65443,0.00071,1137.99,2.28,4.55,WIN,CHANDELIER,2024-02,2024
2024-02-26,SELL,0.65471,0.00074,-500.0,-1.0,0.62,LOSS,SL,2024-02,2024
2024-03-01,SELL,0.64924,0.00079,-500.0,-1.0,0.0,LOSS,SL,2024-03,2024
2024-03-04,SELL,0.65166,0.0008,-500.0,-1.0,0.0,LOSS,SL,2024-03,2024
2024-03-07,BUY,0.65954,0.00089,2022.59,4.05,8.09,WIN,CHANDELIER,2024-03,2024
2024-03-08,BUY,0.66383,0.00078,812.36,1.62,3.75,WIN,CHANDELIER,2024-03,2024
2024-03-18,BUY,0.65738,0.00066,-500.0,-1.0,0.2,LOSS,SL,2024-03,2024
2024-03-20,SELL,0.65149,0.00081,-500.0,-1.0,0.24,LOSS,SL,2024-03,2024
2024-03-28,SELL,0.65072,0.00094,250.0,0.5,2.25,WIN,SL,2024-03,2024
2024-04-02,BUY,0.65058,0.00082,-500.0,-1.0,0.82,LOSS,SL,2024-04,2024
2024-04-09,BUY,0.66234,0.0008,575.72,1.15,2.8,WIN,CHANDELIER,2024-04,2024
2024-04-11,BUY,0.653,0.00094,-500.0,-1.0,0.0,LOSS,SL,2024-04,2024
2024-04-23,SELL,0.64451,0.00084,-500.0,-1.0,0.37,LOSS,SL,2024-04,2024
2024-05-01,BUY,0.64834,0.00078,1844.99,3.69,7.38,WIN,CHANDELIER,2024-05,2024
2024-05-06,BUY,0.663,0.00079,-500.0,-1.0,1.22,LOSS,SL,2024-05,2024
2024-05-13,BUY,0.66087,0.00074,592.96,1.19,2.87,WIN,CHANDELIER,2024-05,2024
2024-05-17,SELL,0.66569,0.00089,-500.0,-1.0,0.85,LOSS,SL,2024-05,2024
2024-05-20,SELL,0.66933,0.00078,805.07,1.61,3.72,WIN,CHANDELIER,2024-05,2024
2024-05-23,BUY,0.66414,0.00093,-500.0,-1.0,0.67,LOSS,SL,2024-05,2024
2024-05-24,BUY,0.66119,0.00077,1965.26,3.93,6.54,WIN,TIME,2024-05,2024
2024-05-27,BUY,0.66432,0.00066,1204.26,2.41,4.82,WIN,CHANDELIER,2024-05,2024
2024-05-31,BUY,0.66474,0.00086,668.52,1.34,3.17,WIN,CHANDELIER,2024-05,2024
2024-06-07,SELL,0.6663,0.0007,-500.0,-1.0,0.65,LOSS,SL,2024-06,2024
2024-06-14,SELL,0.66136,0.00091,-500.0,-1.0,1.03,LOSS,SL,2024-06,2024
2024-06-21,SELL,0.66525,0.00079,-500.0,-1.0,0.76,LOSS,SL,2024-06,2024
2024-07-01,BUY,0.6685,0.00081,-500.0,-1.0,0.0,LOSS,SL,2024-07,2024
2024-07-03,BUY,0.66815,0.00071,-500.0,-1.0,0.3,LOSS,SL,2024-07,2024
2024-07-08,SELL,0.67366,0.00083,-500.0,-1.0,0.11,LOSS,SL,2024-07,2024
2024-07-12,BUY,0.67775,0.00091,-500.0,-1.0,0.34,LOSS,SL,2024-07,2024
2024-07-15,BUY,0.67798,0.00077,-500.0,-1.0,1.41,LOSS,SL,2024-07,2024
2024-07-17,BUY,0.67535,0.00079,-500.0,-1.0,0.3,LOSS,SL,2024-07,2024
2024-07-19,SELL,0.66934,0.0008,2117.02,4.23,7.61,WIN,TIME,2024-07,2024
2024-07-23,SELL,0.66231,0.00071,-500.0,-1.0,0.13,LOSS,SL,2024-07,2024
2024-07-26,BUY,0.65592,0.00074,-500.0,-1.0,1.51,LOSS,SL,2024-07,2024
2024-07-29,SELL,0.65441,0.00105,-500.0,-1.0,0.22,LOSS,SL,2024-07,2024
2024-08-01,SELL,0.65202,0.00112,-500.0,-1.0,0.48,LOSS,SL,2024-08,2024
2024-08-06,SELL,0.64822,0.0017,-500.0,-1.0,0.51,LOSS,SL,2024-08,2024
2024-08-12,BUY,0.6602,0.00081,-500.0,-1.0,0.0,LOSS,SL,2024-08,2024
2024-08-13,BUY,0.66086,0.00076,-500.0,-1.0,0.28,LOSS,SL,2024-08,2024
2024-08-21,SELL,0.67354,0.00078,-500.0,-1.0,0.03,LOSS,SL,2024-08,2024
2024-08-29,BUY,0.68241,0.00105,-500.0,-1.0,0.18,LOSS,SL,2024-08,2024
2024-08-30,BUY,0.68087,0.00087,-500.0,-1.0,1.13,LOSS,SL,2024-08,2024
2024-09-05,BUY,0.67321,0.00088,-500.0,-1.0,0.0,LOSS,SL,2024-09,2024
2024-09-09,SELL,0.66555,0.00101,-500.0,-1.0,0.65,LOSS,SL,2024-09,2024
2024-09-12,SELL,0.66679,0.0009,-500.0,-1.0,0.0,LOSS,SL,2024-09,2024
2024-09-13,SELL,0.6713,0.00082,250.0,0.5,2.46,WIN,SL,2024-09,2024
2024-09-16,BUY,0.67385,0.00085,817.99,1.64,3.77,WIN,CHANDELIER,2024-09,2024
2024-09-17,BUY,0.67668,0.0008,-500.0,-1.0,0.0,LOSS,SL,2024-09,2024
2024-09-18,BUY,0.67801,0.00082,-500.0,-1.0,1.35,LOSS,SL,2024-09,2024
2024-09-23,SELL,0.68084,0.00102,-500.0,-1.0,0.62,LOSS,SL,2024-09,2024
2024-10-01,SELL,0.69099,0.00126,539.78,1.08,2.66,WIN,CHANDELIER,2024-10,2024
2024-10-07,SELL,0.67948,0.00092,825.6,1.65,3.8,WIN,CHANDELIER,2024-10,2024
2024-10-14,SELL,0.67239,0.00098,-500.0,-1.0,1.87,LOSS,SL,2024-10,2024
2024-10-24,BUY,0.66576,0.00085,-500.0,-1.0,0.65,LOSS,SL,2024-10,2024
2024-11-11,SELL,0.6585,0.00105,1174.57,2.35,4.7,WIN,CHANDELIER,2024-11,2024
2024-11-18,SELL,0.64572,0.00099,-500.0,-1.0,0.82,LOSS,SL,2024-11,2024
2024-11-19,SELL,0.64899,0.00113,-500.0,-1.0,0.0,LOSS,SL,2024-11,2024
2024-11-20,SELL,0.65201,0.00091,816.89,1.63,3.77,WIN,CHANDELIER,2024-11,2024
2024-11-27,BUY,0.64856,0.00102,-500.0,-1.0,1.57,LOSS,SL,2024-11,2024
2024-12-03,BUY,0.6485,0.00102,406.58,0.81,2.13,WIN,CHANDELIER,2024-12,2024
2024-12-05,BUY,0.64475,0.00086,-500.0,-1.0,0.82,LOSS,SL,2024-12,2024
2024-12-09,BUY,0.64244,0.00105,1043.33,2.09,4.17,WIN,CHANDELIER,2024-12,2024
2024-12-11,SELL,0.63516,0.00099,-500.0,-1.0,0.0,LOSS,SL,2024-12,2024
2024-12-19,BUY,0.62359,0.00169,-500.0,-1.0,1.84,LOSS,SL,2024-12,2024
2024-12-26,SELL,0.62263,0.00083,-500.0,-1.0,0.25,LOSS,SL,2024-12,2024
2025-01-06,BUY,0.62519,0.00103,-500.0,-1.0,0.14,LOSS,SL,2025-01,2025
2025-01-09,SELL,0.61826,0.00092,-500.0,-1.0,0.0,LOSS,SL,2025-01,2025
2025-01-10,SELL,0.61844,0.00081,-500.0,-1.0,0.28,LOSS,SL,2025-01,2025
2025-01-15,BUY,0.62036,0.00086,1276.33,2.55,5.11,WIN,CHANDELIER,2025-01,2025
2025-01-20,BUY,0.62235,0.00086,-500.0,-1.0,0.0,LOSS,SL,2025-01,2025
2025-01-22,BUY,0.62852,0.00108,-500.0,-1.0,1.07,LOSS,SL,2025-01,2025
2025-01-23,SELL,0.62576,0.00072,-500.0,-1.0,0.0,LOSS,SL,2025-01,2025
2025-01-27,SELL,0.62801,0.00092,-500.0,-1.0,0.0,LOSS,SL,2025-01,2025
2025-01-31,BUY,0.6236,0.00119,-500.0,-1.0,0.0,LOSS,SL,2025-01,2025
2025-02-05,BUY,0.62716,0.00097,564.89,1.13,2.76,WIN,CHANDELIER,2025-02,2025
2025-02-12,SELL,0.62821,0.00088,1201.59,2.4,4.81,WIN,CHANDELIER,2025-02,2025
2025-02-13,SELL,0.6269,0.00087,-500.0,-1.0,1.54,LOSS,SL,2025-02,2025
2025-02-14,BUY,0.63301,0.0011,1310.3,2.62,4.14,WIN,TIME,2025-02,2025
2025-02-21,SELL,0.63865,0.00085,860.61,1.72,3.94,WIN,CHANDELIER,2025-02,2025
2025-02-25,SELL,0.63374,0.00092,-500.0,-1.0,1.17,LOSS,SL,2025-02,2025
2025-03-05,BUY,0.62848,0.00151,1219.24,2.44,4.88,WIN,CHANDELIER,2025-03,2025
2025-03-10,BUY,0.63293,0.00093,-500.0,-1.0,0.3,LOSS,SL,2025-03,2025
2025-03-11,BUY,0.62922,0.00127,-500.0,-1.0,0.59,LOSS,SL,2025-03,2025
2025-03-14,BUY,0.6302,0.0008,1170.29,2.34,4.68,WIN,CHANDELIER,2025-03,2025
2025-03-17,BUY,0.63415,0.00065,1333.63,2.67,5.33,WIN,CHANDELIER,2025-03,2025
2025-03-19,SELL,0.63325,0.00073,-500.0,-1.0,0.0,LOSS,SL,2025-03,2025
2025-03-20,SELL,0.63214,0.0014,1492.63,2.99,4.28,WIN,TIME,2025-03,2025
2025-03-24,BUY,0.62988,0.00086,-500.0,-1.0,0.97,LOSS,SL,2025-03,2025
2025-03-25,BUY,0.62987,0.00079,500.02,1.0,2.5,WIN,CHANDELIER,2025-03,2025
2025-03-31,SELL,0.62584,0.00086,1092.79,2.19,4.37,WIN,CHANDELIER,2025-03,2025
2025-04-14,BUY,0.63403,0.0017,-500.0,-1.0,0.31,LOSS,SL,2025-04,2025
2025-04-16,BUY,0.63699,0.00152,-500.0,-1.0,1.56,LOSS,SL,2025-04,2025
2025-04-22,SELL,0.64037,0.00131,852.38,1.7,3.91,WIN,CHANDELIER,2025-04,2025
2025-04-24,BUY,0.63896,0.00134,432.28,0.86,2.23,WIN,CHANDELIER,2025-04,2025
2025-04-25,SELL,0.63776,0.00132,-500.0,-1.0,0.0,LOSS,SL,2025-04,2025
2025-04-28,SELL,0.63731,0.00107,-500.0,-1.0,0.15,LOSS,SL,2025-04,2025
2025-05-07,SELL,0.64748,0.00135,812.05,1.62,3.75,WIN,CHANDELIER,2025-05,2025
2025-05-12,SELL,0.64084,0.00126,853.5,1.71,3.91,WIN,CHANDELIER,2025-05,2025
2025-05-14,BUY,0.64908,0.001,-500.0,-1.0,1.31,LOSS,SL,2025-05,2025
2025-05-19,BUY,0.64274,0.00099,872.93,1.75,3.99,WIN,CHANDELIER,2025-05,2025
2025-05-22,SELL,0.64251,0.00119,-500.0,-1.0,1.29,LOSS,SL,2025-05,2025
2025-05-27,SELL,0.6451,0.00114,-500.0,-1.0,0.55,LOSS,SL,2025-05,2025
2025-05-29,BUY,0.64508,0.00126,-500.0,-1.0,0.0,LOSS,SL,2025-05,2025
2025-06-02,BUY,0.64843,0.00135,-500.0,-1.0,1.41,LOSS,SL,2025-06,2025
2025-06-05,BUY,0.65124,0.00092,628.75,1.26,3.02,WIN,CHANDELIER,2025-06,2025
2025-06-12,SELL,0.64845,0.00123,-500.0,-1.0,0.0,LOSS,SL,2025-06,2025
2025-06-26,BUY,0.65463,0.001,-500.0,-1.0,0.0,LOSS,SL,2025-06,2025
2025-06-30,SELL,0.65259,0.00097,-500.0,-1.0,0.07,LOSS,SL,2025-06,2025
2025-07-02,SELL,0.65638,0.00083,-500.0,-1.0,0.2,LOSS,SL,2025-07,2025
2025-07-04,SELL,0.6558,0.00083,2081.66,4.16,8.33,WIN,CHANDELIER,2025-07,2025
2025-07-15,BUY,0.65692,0.00083,-500.0,-1.0,0.54,LOSS,SL,2025-07,2025
2025-07-18,BUY,0.65163,0.00075,746.51,1.49,3.49,WIN,CHANDELIER,2025-07,2025
2025-07-23,BUY,0.65804,0.00073,628.47,1.26,3.01,WIN,CHANDELIER,2025-07,2025
2025-07-29,SELL,0.6505,0.00088,-500.0,-1.0,0.0,LOSS,SL,2025-07,2025
2025-07-30,SELL,0.65054,0.00084,1116.76,2.23,4.47,WIN,CHANDELIER,2025-07,2025
2025-08-01,SELL,0.64229,0.0008,-500.0,-1.0,0.0,LOSS,SL,2025-08,2025
2025-08-05,SELL,0.64548,0.00097,-500.0,-1.0,0.07,LOSS,SL,2025-08,2025
2025-08-08,BUY,0.65314,0.00088,-500.0,-1.0,0.0,LOSS,SL,2025-08,2025
2025-08-27,SELL,0.64725,0.00067,-500.0,-1.0,1.13,LOSS,SL,2025-08,2025
2025-09-01,BUY,0.656,0.00067,-500.0,-1.0,0.32,LOSS,SL,2025-09,2025
2025-09-02,SELL,0.65159,0.00081,747.51,1.5,3.49,WIN,CHANDELIER,2025-09,2025
2025-09-03,BUY,0.65334,0.00077,607.91,1.22,2.93,WIN,CHANDELIER,2025-09,2025
2025-09-12,SELL,0.66481,0.00063,-500.0,-1.0,0.0,LOSS,SL,2025-09,2025
2025-09-22,SELL,0.65833,0.00056,-500.0,-1.0,0.0,LOSS,SL,2025-09,2025
2025-09-23,BUY,0.66076,0.00071,-500.0,-1.0,1.29,LOSS,SL,2025-09,2025
2025-09-26,SELL,0.65334,0.00064,-500.0,-1.0,1.61,LOSS,SL,2025-09,2025
2025-10-02,BUY,0.66251,0.00064,-500.0,-1.0,0.21,LOSS,SL,2025-10,2025
2025-10-03,BUY,0.66107,0.00061,-500.0,-1.0,0.0,LOSS,SL,2025-10,2025
2025-10-17,SELL,0.64662,0.00096,-500.0,-1.0,1.22,LOSS,SL,2025-10,2025
2025-10-20,SELL,0.64956,0.00069,-500.0,-1.0,1.21,LOSS,SL,2025-10,2025
2025-10-27,BUY,0.65548,0.00075,-500.0,-1.0,0.86,LOSS,SL,2025-10,2025
2025-10-28,SELL,0.65488,0.00056,-500.0,-1.0,0.0,LOSS,SL,2025-10,2025
2025-11-21,SELL,0.64379,0.00095,-500.0,-1.0,0.0,LOSS,SL,2025-11,2025
2025-11-24,SELL,0.64508,0.00069,-500.0,-1.0,0.54,LOSS,SL,2025-11,2025
2025-12-12,BUY,0.6676,0.00059,-500.0,-1.0,0.0,LOSS,SL,2025-12,2025
2025-12-23,BUY,0.66899,0.00057,250.0,0.5,2.11,WIN,SL,2025-12,2025
2025-12-25,SELL,0.66961,0.0007,-500.0,-1.0,0.0,LOSS,SL,2025-12,2025
2025-12-29,SELL,0.67051,0.00053,792.0,1.58,3.67,WIN,CHANDELIER,2025-12,2025
2025-12-31,SELL,0.6684,0.00052,-500.0,-1.0,1.04,LOSS,SL,2025-12,2025
