symbol,strategy,trades,wr,pf,avg_r,ret,max_dd,days
USDJPY,ema_trend,16,0.4375,2.0942516080784706,0.5885673628850657,53.494298934276415,18.549373950818243,1018
USDCAD,london_breakout,12,0.5833333333333334,1.7561014540020086,0.43834846638969505,26.72231739229458,16.52613523234049,1018
EURGBP,london_breakout,21,0.47619047619047616,1.598729715272072,0.40208991997917387,44.58699263481287,18.549371362583834,1018
GBPAUD,ema_trend,14,0.35714285714285715,1.5493289596511166,0.47355832174590734,29.586323687315307,18.54937669882731,1018
GBPUSD,ema_trend,11,0.45454545454545453,1.504125355045945,0.38877816286491984,19.57862850475587,16.39247059644301,1018
GBPCAD,ema_trend,9,0.3333333333333333,1.4686131565601686,0.2862487629175612,11.816943444976658,15.494982521305525,1018
EURJPY,ema_trend,16,0.375,1.0473858848487336,0.07150965402431303,2.4656587401114205,18.54938369333699,1018
EURCHF,london_breakout,13,0.23076923076923078,0.8093708310829493,-0.09140034538274706,-7.930911528322381,18.54937526786038,1018
EURAUD,london_breakout,9,0.2222222222222222,0.8078632440550393,-0.09399110970782064,-6.054994874900754,15.859769157069836,1018
AUDUSD,london_breakout,8,0.25,0.7818714755789525,-0.1101984388621014,-6.758612314988099,18.549356227363536,1018
GBPCAD,london_breakout,13,0.38461538461538464,0.7623541877236489,-0.12622568348136926,-9.740951849079504,17.440692859332636,1018
GBPUSD,london_breakout,14,0.2857142857142857,0.7254681211906228,-0.16053002860604998,-13.446525980583246,18.54936886980368,1018
EURCAD,london_breakout,11,0.2727272727272727,0.6923126492441826,-0.16955784407574181,-10.578712462140372,15.26471554358344,1018
AUDCAD,ema_trend,10,0.3,0.6336302999398516,-0.23640617932676183,-12.759910132872786,16.516690388232437,1018
EURUSD,ema_trend,8,0.25,0.62673594062383,-0.22317500766329895,-9.554734716977764,18.549374505237118,1018
EURNZD,ema_trend,9,0.3333333333333333,0.553636167690446,-0.2873843478697986,-13.22086764029442,18.48328814571378,1018
AUDCAD,london_breakout,9,0.3333333333333333,0.5213291743833545,-0.3017748609724269,-13.767392154419722,15.022608633161536,1018
NZDUSD,london_breakout,6,0.3333333333333333,0.47897275413462653,-0.34916881512840936,-10.607130624631278,18.549366134897298,1018
USDJPY,london_breakout,8,0.25,0.3255145855659095,-0.4878546176708629,-18.58225874259931,18.582258742599304,1018
AUDJPY,ema_trend,6,0.16666666666666666,0.31153259723452703,-0.5609364575172712,-16.29864304294417,16.298643042944168,1018
NZDUSD,ema_trend,6,0.16666666666666666,0.3090173375113517,-0.5731356436008196,-16.581825380828963,18.54937159648307,1018
GBPAUD,london_breakout,6,0.16666666666666666,0.2794596151824749,-0.580663225685163,-16.756566530342464,16.75656653034246,1018
AUDJPY,london_breakout,5,0.2,0.25819285302014605,-0.5987907145796167,-14.452219203765049,18.54937217940913,1018
EURNZD,london_breakout,6,0.16666666666666666,0.25286911917126387,-0.614149152580142,-17.533889539548486,17.533889539548493,1018
GBPCHF,london_breakout,5,0.2,0.21745524101640545,-0.6318716305594487,-15.125834054117037,18.54936681706526,1018
EURAUD,ema_trend,5,0.2,0.19752808727483678,-0.634416677785423,-15.177658765389113,15.177658765389115,1018
GBPJPY,ema_trend,5,0.2,0.1882953280152693,-0.6488784432561693,-15.472139907811433,15.472139907811433,1018
EURCHF,ema_trend,5,0.2,0.18637386258932215,-0.6439403468586737,-15.371586613597188,15.371586613597191,1018
EURUSD,london_breakout,4,0.0,0.0,-0.9999999901330736,-18.549374830807043,18.549374830807047,1018
AUDUSD,ema_trend,4,0.0,0.0,-1.0000006020747685,-18.549385324076784,18.549385324076784,1018
EURGBP,ema_trend,4,0.0,0.0,-1.0000000457908027,-18.549375785197984,18.54937578519798,1018
USDCHF,ema_trend,4,0.0,0.0,-0.9999994195403695,-18.5493650465684,18.5493650465684,1018
USDCHF,london_breakout,4,0.0,0.0,-1.0000003962841582,-18.549381795283026,18.549381795283022,1018
USDCAD,ema_trend,4,0.0,0.0,-1.000000489551572,-18.549383394585305,18.549383394585302,1018
EURCAD,ema_trend,4,0.0,0.0,-0.9999997980675348,-18.549371537363545,18.54937153736354,1018
EURJPY,london_breakout,4,0.0,0.0,-1.000000093250372,-18.549376599011136,18.54937659901114,1018
GBPJPY,london_breakout,4,0.0,0.0,-0.9999997422046498,-18.54937057945486,18.549370579454862,1018
AUDNZD,ema_trend,4,0.0,0.0,-0.999999150012951,-18.549360424846295,18.549360424846288,1018
AUDCHF,london_breakout,4,0.0,0.0,-1.000001102091317,-18.54939389810948,18.549393898109486,1018
AUDCHF,ema_trend,4,0.0,0.0,-0.9999985062031621,-18.549349385116486,18.549349385116486,1018
AUDNZD,london_breakout,4,0.0,0.0,-0.9999997071165581,-18.54936997778124,18.549369977781236,1018
GBPCHF,ema_trend,4,0.0,0.0,-1.00000013138828,-18.549377252980825,18.54937725298082,1018
GBPNZD,ema_trend,4,0.0,0.0,-1.0000003547631549,-18.54938108330152,18.549381083301515,1018
GBPNZD,london_breakout,4,0.0,0.0,-0.9999992575178097,-18.549362268286362,18.54936226828637,1018
NZDJPY,ema_trend,4,0.0,0.0,-0.9999992901968484,-18.54936282864995,18.549362828649954,1018
NZDJPY,london_breakout,4,0.0,0.0,-0.9999999996602735,-18.54937499417587,18.549374994175867,1018
