pair,strategy,trades,wr,pf,avg_r,ret,max_dd,days
AUDUSD,B_london_break,51,0.5294117647058824,1.9275580037289173,0.4364978828719025,163.65125119239946,13.884826124830896,1017
USDJPY,C_prevday_break,26,0.5384615384615384,1.9239432796501317,0.4264354391497808,62.56654882147892,10.616431009271924,1017
USDJPY,B_london_break,19,0.47368421052631576,1.663308576009586,0.34910978967171424,31.754632430794505,13.057775689331717,1017
EURCHF,D_bb_reversion,8,0.5,1.5444545787682986,0.27222736085804355,9.466888973040554,15.280115226647387,1017
GBPAUD,B_london_break,29,0.41379310344827586,1.5342545673944494,0.3131836543186843,41.599068203772575,12.370094844077839,1017
GBPNZD,C_prevday_break,8,0.375,1.4960874966196092,0.3100548091406802,10.047568439083697,15.105492638354324,1017
GBPAUD,A_trend_pullback,16,0.375,1.4553171781576641,0.28457303938871226,18.28031393817666,14.999984833545804,1017
AUDJPY,D_bb_reversion,10,0.4,1.4147093361127145,0.2488258137373376,9.780420368953191,15.101040885882469,1017
EURNZD,C_prevday_break,10,0.4,1.3490920972383447,0.20945537413251464,7.920992037661612,13.222211528584152,1017
GBPCAD,B_london_break,16,0.4375,1.2758142636408865,0.15514555686704418,9.284742983131222,15.104413794331418,1017
GBPCHF,D_bb_reversion,23,0.43478260869565216,1.2602020891104533,0.1470708367192357,12.199029994214294,14.963898193330257,1017
GBPUSD,A_trend_pullback,9,0.3333333333333333,1.2549415110791164,0.1699609736214802,4.778694304296738,15.668054406024238,1017
EURJPY,A_trend_pullback,12,0.4166666666666667,1.2520650372007422,0.14703793084234046,5.908272076801269,15.525267514892803,1017
GBPUSD,B_london_break,11,0.45454545454545453,1.158189484173768,0.08628518079634483,2.729065768339045,16.032622158885925,1017
EURGBP,D_bb_reversion,23,0.391304347826087,1.1577618975436557,0.09602899832343921,5.391469999863152,15.262126963916463,1017
GBPCAD,D_bb_reversion,10,0.4,1.1222354930929024,0.07334128964344763,1.4507028236501407,16.29184775870966,1017
AUDUSD,C_prevday_break,13,0.38461538461538464,1.1146450384597846,0.07055083348417181,1.2856312927604696,16.05320389804247,1017
EURCAD,B_london_break,17,0.4117647058823529,1.109687539584287,0.06452209892634073,1.7161592814787685,15.93824131584157,1017
GBPCHF,B_london_break,11,0.45454545454545453,1.0992735074819093,0.054149200592857556,0.9962928924833081,16.26304629626234,1017
USDJPY,A_trend_pullback,20,0.4,1.0780844126503817,0.046850655701569044,0.21355180345847824,16.04041855393021,1017
EURNZD,B_london_break,8,0.375,1.0297572505477162,0.01859828283071624,-1.0608457013400074,14.465870884873668,1017
USDCAD,D_bb_reversion,11,0.36363636363636365,1.0190781062913519,0.012140613235089697,-1.786788583704435,13.797202433475231,1017
GBPAUD,D_bb_reversion,14,0.35714285714285715,1.0099335540169927,0.0063858563356240195,-2.9289504017450785,16.60480927776479,1017
EURGBP,C_prevday_break,13,0.38461538461538464,1.006939354766399,0.0042703734200520895,-2.6824350869170344,16.628206299409328,1017
NZDUSD,C_prevday_break,15,0.3333333333333333,0.9632161385491902,-0.024522553234625776,-5.375397305432761,13.304113145339969,1017
NZDUSD,B_london_break,6,0.3333333333333333,0.9432368719061734,-0.037842076039382534,-2.535587020068486,16.825844460557214,1017
EURAUD,D_bb_reversion,17,0.35294117647058826,0.9089695767547987,-0.05890202536667775,-8.276318423963748,13.64618248955853,1017
GBPNZD,D_bb_reversion,25,0.36,0.866906113344352,-0.08518009749627904,-14.90286386163141,16.788564263111034,1017
GBPNZD,B_london_break,6,0.3333333333333333,0.8540804556033151,-0.09727966174523622,-4.060751862402611,17.08209691528646,1017
