symbol,timeframe,feature,target,ic,abs_ic,t_stat,p_value,n_obs,dir_acc,q_spread,monotone,significant
R_50,H1,rvol50,target_5,-0.0499,0.0499,-4.67,0.0,8705,0.4928,-0.001094,False,True
stpRNG,H1,is_london,target_3,-0.0483,0.0483,-4.52,0.0,8756,0.1766,0.0,True,True
R_100,H1,ema_cross_5_20,target_5,-0.0469,0.0469,-4.39,0.0,8755,0.4922,-0.003344,False,True
R_100,H1,roc20,target_5,-0.0463,0.0463,-4.33,0.0,8735,0.4944,-0.00401,False,True
R_50,H1,macd_sign,target_5,0.0446,0.0446,4.17,0.0,8755,0.5215,0.0,True,True
stpRNG,H1,is_london,target_5,-0.0442,0.0442,-4.14,0.0,8756,0.1765,0.0,True,True
R_100,H1,rsi21_dist,target_5,-0.044,0.044,-4.11,0.0,8734,0.4923,-0.003705,False,True
R_100,H1,rsi21,target_5,-0.044,0.044,-4.11,0.0,8734,0.4932,-0.003705,False,True
R_100,H1,hl_pos20,target_5,-0.0439,0.0439,-4.1,0.0,8736,0.4913,-0.003741,False,True
R_50,H1,vol_ratio_10_50,target_5,0.0435,0.0435,4.06,0.0,8705,0.4928,0.001102,False,True
R_100,H1,macd_hist,target_5,-0.0417,0.0417,-3.9,0.0001,8755,0.4929,-0.003412,False,True
R_100,H1,ema_dist20,target_5,-0.0416,0.0416,-3.9,0.0001,8755,0.4924,-0.003309,False,True
R_100,H1,roc10,target_5,-0.0411,0.0411,-3.85,0.0001,8745,0.4862,-0.003011,False,True
R_100,H1,rsi14_dist,target_5,-0.0408,0.0408,-3.82,0.0001,8741,0.4901,-0.002792,False,True
R_100,H1,rsi14,target_5,-0.0408,0.0408,-3.82,0.0001,8741,0.493,-0.002792,False,True
R_50,H1,macd_sign,target_3,0.0396,0.0396,3.71,0.0002,8755,0.5152,0.0,True,True
R_100,H1,ema_cross_5_20,target_3,-0.0388,0.0388,-3.63,0.0003,8755,0.4882,-0.00228,False,True
stpRNG,H1,is_overlap,target_3,-0.0384,0.0384,-3.59,0.0003,8756,0.0759,0.0,True,True
R_100,H1,zscore50,target_5,-0.038,0.038,-3.55,0.0004,8706,0.494,-0.003076,False,True
R_100,H1,rsi21_dist,target_3,-0.0374,0.0374,-3.49,0.0005,8734,0.489,-0.00251,False,True
R_100,H1,rsi21,target_3,-0.0374,0.0374,-3.49,0.0005,8734,0.4951,-0.00251,False,True
R_100,H1,zscore20,target_5,-0.0373,0.0373,-3.49,0.0005,8736,0.4905,-0.003001,False,True
