n_trades,win_rate,avg_win_pct,avg_loss_pct,profit_factor,expectancy_pct,trades_month,sharpe,total_pnl_pct,n_bars,span_days,symbol,display_name,submarket
580,0.3137931034482759,4.39437460412075,0.7595847127917629,0.6740689758863886,1.900156713174307,67.7,18.33,1102.0908936410979,24986,257,RDBULL,Bull Market Index,random_daily
1044,0.39176245210727967,3.0180428927369505,0.23839408777007834,0.9635795814479572,1.3273561196009698,86.5,20.5,1385.7597888634125,35026,362,JD100,Jump 100 Index,jump_index
618,0.34627831715210355,3.914656969682716,-0.2398206482656324,0.791092427226763,1.1987848699236014,72.1,12.08,740.8490496127856,24986,257,RDBEAR,Bear Market Index,random_daily
716,0.4036312849162011,2.485508843085204,0.046543779772738936,1.0218044104898274,1.0309863821432732,83.6,18.61,738.1862496145835,24986,257,R_100,Volatility 100 Index,random_index
1010,0.38613861386138615,2.497117679686305,0.0296186951876626,0.937433131110472,0.9824153327663463,83.7,17.41,992.2394860940096,35027,362,1HZ100V,Volatility 100 (1s) Index,random_index
1031,0.4180407371483996,2.2473193837098107,0.05446565543966364,1.0738504586383883,0.9711678444643324,85.4,19.63,1001.2740476427268,35027,362,1HZ90V,Volatility 90 (1s) Index,random_index
1161,0.40568475452196384,2.174352414830304,0.08913826674557425,1.0318262539457446,0.9350778565370538,96.2,20.94,1085.6253914395197,35027,362,BOOM300N,Boom 300 Index,crash_index
1047,0.41260744985673353,2.264387617237446,-0.04951428316256591,1.0545565666593997,0.9052188791801326,87.2,17.92,947.7641665015988,35027,360,JD75,Jump 75 Index,jump_index
1145,0.4131004366812227,2.1577341929606457,-0.034811652808726536,1.0504767587942432,0.870929993522202,94.9,18.87,997.2148425829213,35027,362,CRASH300N,Crash 300 Index,crash_index
999,0.4184184184184184,1.8658394729120762,0.047320267297026916,1.0673154426623679,0.8082221971739946,82.8,19.32,807.4139749768203,35027,362,1HZ75V,Volatility 75 (1s) Index,random_index
707,0.37057991513437055,1.8681494486999448,0.14562689499599016,0.8815876747711459,0.7839591567646409,82.5,19.05,554.2591238326013,24986,257,R_75,Volatility 75 Index,random_index
1058,0.41965973534971646,1.5028214435171707,0.01973640163878593,1.0767684535427546,0.642127477814592,87.7,19.47,679.3708715278383,35027,362,JD50,Jump 50 Index,jump_index
717,0.3877266387726639,1.2385089570462682,0.09940968327784624,0.9546561523531683,0.5410688159244589,83.7,20.17,387.94634101783697,24986,257,R_50,Volatility 50 Index,random_index
989,0.41759352881698686,1.0763706468896679,0.04697723823128896,1.072691145867178,0.476845264293888,82.0,19.83,471.5999663866552,35027,362,stpRNG5,Step Index 500,step_index
1007,0.40615690168818275,1.2598872293821628,-0.07727525838610665,1.0338782157057027,0.4658225146995163,83.7,16.03,469.0832723024128,35027,361,1HZ50V,Volatility 50 (1s) Index,random_index
89,0.3146067415730337,0.6802790299349638,0.16538121858106863,0.5346954998377991,0.3273715412542042,54.5,12.85,29.136067171624173,3344,49,WLDXAU,Gold Basket,commodity_basket
1008,0.4176587301587302,0.7525307372602176,-0.018378743738410624,1.080405211838166,0.30359833116280216,83.8,17.79,306.0271178121045,35027,361,1HZ30V,Volatility 30 (1s) Index,random_index
1068,0.38857677902621723,0.7515888430469111,0.009972375970447344,0.9513193538591072,0.2981473140198223,88.5,18.08,318.42133137317023,35027,362,JD25,Jump 25 Index,jump_index
935,0.4032085561497326,0.6498412266038193,0.0063034300276138475,1.0213565811127383,0.26578337581288597,77.5,17.43,248.50745638504844,35027,362,stpRNG4,Step Index 400,step_index
1188,0.4377104377104377,0.6085583635627279,-0.029681922704537782,1.1656523338607798,0.24968251236194214,98.5,19.41,296.6228246859872,35027,362,CRASH500,Crash 500 Index,crash_index
1169,0.3943541488451668,0.6112767173422258,0.011720355674928809,0.981693772287688,0.24815789436494073,96.9,19.52,290.0965785126156,35027,362,BOOM500,Boom 500 Index,crash_index
721,0.40499306518723993,0.6146250286534095,-0.01826112697369535,1.0191228835570432,0.23805337710829438,84.2,16.98,171.63648489508023,24986,257,R_25,Volatility 25 Index,random_index
1207,0.38028169014084506,0.5422438091938446,0.009805597381297533,0.9189801140238081,0.21228210046494222,100.0,18.97,256.2244952611852,35027,362,BOOM600,Boom 600 Index,crash_index
979,0.3687436159346272,0.6243394793069675,-0.030721852161513786,0.8679361915488586,0.2108278318631254,81.4,14.28,206.4004473939998,35027,361,1HZ25V,Volatility 25 (1s) Index,random_index
1214,0.3846787479406919,0.5431430825441396,-0.009362214587264247,0.946938448926979,0.20317483134384412,100.6,18.02,246.65424525142683,35027,362,CRASH600,Crash 600 Index,crash_index
1229,0.44263628966639545,0.38494734856017465,0.053148871942727806,1.2070570887814656,0.20001491854963674,101.9,27.91,245.81833489750355,35027,362,BOOM1000,Boom 1000 Index,crash_index
1219,0.4027891714520098,0.41196671289156367,0.015598697194889925,1.0090863381995334,0.17525144182743033,101.0,20.99,213.63150758763766,35027,362,BOOM900,Boom 900 Index,crash_index
1245,0.42570281124497994,0.41460128752922293,-0.03315788542529096,1.1216269615026373,0.1574544532621728,103.2,18.14,196.03079431140515,35027,362,CRASH900,Crash 900 Index,crash_index
1017,0.39331366764995085,0.37304458639184557,0.012342394723309565,0.9773299587367993,0.15421149665783698,84.3,18.68,156.83309210102024,35027,362,stpRNG3,Step Index 300,step_index
1007,0.3912611717974181,0.3741608077297845,0.006168563712514723,0.9634525460198686,0.1501496403190731,83.7,17.88,151.2006878013066,35027,361,1HZ15V,Volatility 15 (1s) Index,random_index
1242,0.40177133655394526,0.3847009734307879,-0.02115376786436247,1.0152698607556294,0.14190703399254578,102.9,17.69,176.24853621874186,35027,362,CRASH1000,Crash 1000 Index,crash_index
710,0.43661971830985913,0.24776197778230685,0.027584922329483275,1.1669431605796257,0.12371856625958935,82.9,23.71,87.84018204430842,24986,257,R_10,Volatility 10 Index,random_index
818,0.4083129584352078,0.2915356295029892,-0.007023146846318331,1.0451075846455269,0.11488227039166299,67.8,15.12,93.97369718038033,35027,362,RB100,Range Break 100 Index,range_index
1087,0.39098436062557496,0.30025719026719583,-0.008065700210744327,0.9547553750300606,0.11248372798900229,90.1,16.85,122.2698123240455,35027,362,JD10,Jump 10 Index,jump_index
80,0.35,0.23823636479026905,0.029232862799745494,0.8573491724181743,0.10238408849642874,50.0,13.86,8.1907270797143,3560,48,WLDAUD,AUD Basket,forex_basket
1006,0.3817097415506958,0.2658736031141763,-0.0021171828957201135,0.9264681785310696,0.10017751077008527,83.4,16.53,100.77857583470578,35027,362,stpRNG2,Step Index 200,step_index
532,0.44548872180451127,0.217958959544943,0.00384210556986995,1.1260339803846626,0.09922874916402842,44.2,13.6,52.78969455526311,35027,361,RB200,Range Break 200 Index,range_index
1003,0.37188434695912265,0.2501921516412225,-0.006175556374632484,0.8872063837574761,0.08916358130225077,83.1,15.47,89.43107204615751,35027,362,1HZ10V,Volatility 10 (1s) Index,random_index
87,0.4482758620689655,0.1831071274191827,0.006742105808137165,1.2434341664763273,0.08580228790964034,54.4,16.41,7.464799048138708,3560,48,WLDUSD,USD Basket,forex_basket
1026,0.3908382066276803,0.17325260097530937,0.008676836969855044,0.969756164859202,0.07299933342812716,85.0,19.32,74.89731609725847,35027,362,stpRNG,Step Index 100,step_index
697,0.40889526542324245,0.12664059491446034,0.010811496983981483,1.0432579569131686,0.05817346672599938,92.5,22.47,40.54690630802156,22015,226,BOOM150N,Boom 150 Index,crash_index
675,0.3851851851851852,0.1266886959065769,-0.010979622644827738,0.943574633175732,0.04204817413052812,89.6,14.65,28.382517538106477,22015,226,CRASH150N,Crash 150 Index,crash_index
415,0.42409638554216866,0.09508182144465255,0.0023934757570183715,1.1048308789438783,0.04170226814502709,84.7,19.9,17.306441280186238,14412,147,CRASH50,Crash 50 Index,crash_index
86,0.3488372093023256,0.11471402631054431,-0.0007636200759149176,0.745672874650474,0.0395192798263383,52.7,10.35,3.3986580650650926,3560,49,WLDGBP,GBP Basket,forex_basket
84,0.39285714285714285,0.10854123782220798,-0.00647821121312663,1.0201222037401014,0.03870800090789767,51.4,11.1,3.2514720762634055,3560,49,WLDEUR,EUR Basket,forex_basket
407,0.4004914004914005,0.09493503018560943,-0.011444702874968963,1.0017025519802083,0.031159465402363418,83.1,13.78,12.68190241876191,14412,147,BOOM50,Boom 50 Index,crash_index
