date,dir,entry,atr,pnl,r,peak_r,result,reason,month,year
2023-07-19,BUY,139.501,0.23,410.27,0.82,2.14,WIN,CHANDELIER,2023-07,2023
2023-07-21,BUY,141.364,0.254,457.51,0.92,2.33,WIN,CHANDELIER,2023-07,2023
2023-07-26,SELL,140.652,0.174,589.63,1.18,2.86,WIN,CHANDELIER,2023-07,2023
2023-07-31,BUY,142.172,0.293,962.02,1.92,2.29,WIN,TIME,2023-07,2023
2023-08-01,BUY,142.71,0.188,1010.41,2.02,4.04,WIN,CHANDELIER,2023-08,2023
2023-08-08,BUY,143.089,0.212,-500.0,-1.0,0.88,LOSS,SL,2023-08,2023
2023-08-10,BUY,143.861,0.144,-500.0,-1.0,0.16,LOSS,SL,2023-08,2023
2023-08-14,BUY,145.01,0.167,1278.34,2.56,5.11,WIN,CHANDELIER,2023-08,2023
2023-08-15,BUY,145.798,0.163,-500.0,-1.0,0.0,LOSS,SL,2023-08,2023
2023-08-18,SELL,145.295,0.21,-500.0,-1.0,0.0,LOSS,SL,2023-08,2023
2023-08-21,BUY,145.931,0.184,518.67,1.04,2.57,WIN,CHANDELIER,2023-08,2023
2023-08-23,SELL,145.396,0.143,-500.0,-1.0,0.93,LOSS,SL,2023-08,2023
2023-08-29,BUY,146.782,0.131,602.18,1.2,2.91,WIN,CHANDELIER,2023-08,2023
2023-09-01,SELL,145.23,0.159,1244.27,2.49,4.98,WIN,CHANDELIER,2023-09,2023
2023-09-04,BUY,146.41,0.142,1382.5,2.77,4.75,WIN,TIME,2023-09,2023
2023-09-05,BUY,147.008,0.134,798.03,1.6,3.69,WIN,CHANDELIER,2023-09,2023
2023-09-13,BUY,147.382,0.144,-500.0,-1.0,0.38,LOSS,SL,2023-09,2023
2023-09-15,BUY,147.754,0.136,-500.0,-1.0,1.45,LOSS,SL,2023-09,2023
2023-09-20,BUY,148.136,0.122,-500.0,-1.0,0.11,LOSS,SL,2023-09,2023
2023-09-25,BUY,148.561,0.094,1071.98,2.14,4.29,WIN,CHANDELIER,2023-09,2023
2023-09-27,BUY,149.216,0.112,1064.03,2.13,4.26,WIN,CHANDELIER,2023-09,2023
