type,entry,sl,tp,atr,risk_amount,size,tp_r,entry_time,signal_time,trend_time,entry_index,balance_before,age,peak,partial_done,locked_pnl,reason,higher_bias,bias_strength,entry_confirmation,closed,exit,exit_time,result,pnl,r_multiple,final_balance
SELL,8154.9,8157.471428571428,8151.0428571428565,2.5714285714287013,5.0,1.9444444444443463,1.5,2025-10-25 11:05:00,2025-10-25 11:00:00,2025-10-25 11:00:00,487,100.0,2,8154.5,False,0.0,SELL setup confirmed: higher timeframe bias and entry timeframe signal align.,SELL,strong,engulfing,True,8157.471428571428,2025-10-25 11:10:00,LOSS,-4.999999999999495,-0.999999999999899,95.00000000000051
SELL,8086.9,8085.335714285714,8082.432142857143,2.9785714285714158,4.750000000000026,0.7973621103117583,1.5,2025-11-01 15:10:00,2025-11-01 15:05:00,2025-11-01 15:00:00,2552,95.00000000000051,22,8076.4,True,4.749999999999818,SELL setup confirmed: higher timeframe bias and entry timeframe signal align.,SELL,strong,continuation,True,8085.335714285714,2025-11-01 16:55:00,WIN,5.9973021582731905,1.262589928057507,100.9973021582737
SELL,8093.7,8088.557142857142,8088.171428571429,3.6857142857141167,5.049865107913686,0.6850592200658414,1.5,2025-11-05 13:00:00,2025-11-05 12:55:00,2025-11-05 12:45:00,3678,100.9973021582737,49,8077.5,True,5.049865107913952,SELL setup confirmed: higher timeframe bias and entry timeframe signal align.,SELL,strong,continuation,True,8088.557142857142,2025-11-05 17:00:00,WIN,8.573026811110154,1.697674418604824,109.57032896938384
BUY,8135.7,8133.092857142857,8139.6107142857145,2.607142857142987,5.478516448469192,2.101348774755202,1.5,2025-11-09 13:35:00,2025-11-09 13:30:00,2025-11-09 13:30:00,4837,109.57032896938384,1,8136.5,False,0.0,BUY setup confirmed: higher timeframe bias and entry timeframe signal align.,BUY,strong,continuation,True,8133.092857142857,2025-11-09 13:35:00,LOSS,-5.478516448469466,-1.00000000000005,104.09181252091437
BUY,8032.5,8033.278571428571,8036.560714285714,2.707142857142961,5.204590626045719,0.9612700364727871,1.5,2025-11-24 10:45:00,2025-11-24 10:40:00,2025-11-24 10:30:00,9123,104.09181252091437,16,8041.4,True,5.204590626045843,BUY setup confirmed: higher timeframe bias and entry timeframe signal align.,BUY,strong,engulfing,True,8033.278571428571,2025-11-24 12:00:00,WIN,5.953008011584971,1.143799472295456,110.04482053249934
BUY,8071.6,8068.892857142858,8075.660714285715,2.707142857142896,5.502241026624968,2.0324900889907243,1.5,2025-11-26 09:05:00,2025-11-26 09:00:00,2025-11-26 09:00:00,9679,110.04482053249934,4,8073.2,False,0.0,BUY setup confirmed: higher timeframe bias and entry timeframe signal align.,BUY,strong,continuation,True,8068.892857142858,2025-11-26 09:20:00,LOSS,-5.502241026624309,-0.9999999999998802,104.54257950587504
BUY,8105.4,8103.0,8109.45,2.700000000000078,5.227128975293752,0.9679868472765928,1.5,2025-11-30 16:00:00,2025-11-30 15:55:00,2025-11-30 15:45:00,10914,104.54257950587504,26,8111.1,True,5.2271289752941295,BUY setup confirmed: higher timeframe bias and entry timeframe signal align.,BUY,strong,continuation,True,8103.0,2025-11-30 18:05:00,WIN,2.903960541830659,0.555555555555708,107.44654004770571
BUY,8110.4,8112.728571428572,8113.935714285714,2.357142857142922,5.372327002385286,1.1395845156574536,1.5,2025-12-02 15:25:00,2025-12-02 15:20:00,2025-12-02 15:15:00,11483,107.44654004770571,18,8119.8,True,5.37232700238573,BUY setup confirmed: higher timeframe bias and entry timeframe signal align.,BUY,strong,continuation,True,8112.728571428572,2025-12-02 16:50:00,WIN,8.025930945988856,1.4939393939396062,115.47247099369457
SELL,7981.6,7984.464285714286,7977.3035714285725,2.8642857142855456,5.773623549684729,2.01572892008955,1.5,2025-12-11 14:15:00,2025-12-11 14:10:00,2025-12-11 14:00:00,14061,115.47247099369457,4,7979.6,False,0.0,SELL setup confirmed: higher timeframe bias and entry timeframe signal align.,SELL,weak,continuation,True,7984.464285714286,2025-12-11 14:30:00,LOSS,-5.773623549685382,-1.0000000000001132,109.69884744400919
BUY,7890.4,7901.714285714285,7895.242857142856,3.2285714285714158,5.48494237220046,0.8494379779956498,1.5,2025-12-18 09:35:00,2025-12-18 09:30:00,2025-12-18 09:30:00,16021,109.69884744400919,25,7911.4,True,5.484942372200239,BUY setup confirmed: higher timeframe bias and entry timeframe signal align.,BUY,strong,continuation,True,7901.714285714285,2025-12-18 11:35:00,WIN,15.09572635180814,2.7522123893804937,124.79457379581733
