time,epoch,open,high,low,close
2026-04-30 06:01:53+00:00,1777528913,160.617,160.617,160.614,160.616
2026-04-30 06:02:00+00:00,1777528920,160.616,160.635,160.589,160.634
2026-04-30 06:03:00+00:00,1777528980,160.634,160.654,160.634,160.645
2026-04-30 06:04:00+00:00,1777529040,160.646,160.649,160.64,160.64
2026-04-30 06:05:00+00:00,1777529100,160.64,160.657,160.638,160.65
2026-04-30 06:06:00+00:00,1777529160,160.649,160.655,160.637,160.641
2026-04-30 06:07:00+00:00,1777529220,160.642,160.642,160.626,160.629
2026-04-30 06:08:00+00:00,1777529280,160.628,160.631,160.617,160.627
2026-04-30 06:09:00+00:00,1777529340,160.641,160.666,160.641,160.666
2026-04-30 06:10:00+00:00,1777529400,160.666,160.679,160.666,160.679
2026-04-30 06:11:00+00:00,1777529460,160.678,160.69,160.676,160.69
2026-04-30 06:12:00+00:00,1777529520,160.69,160.709,160.684,160.709
2026-04-30 06:13:00+00:00,1777529580,160.705,160.713,160.703,160.707
2026-04-30 06:14:00+00:00,1777529640,160.709,160.709,160.694,160.704
2026-04-30 06:15:00+00:00,1777529700,160.704,160.725,160.69,160.693
2026-04-30 06:16:00+00:00,1777529760,160.694,160.694,160.677,160.679
2026-04-30 06:17:00+00:00,1777529820,160.686,160.694,160.686,160.69
2026-04-30 06:18:00+00:00,1777529880,160.691,160.693,160.673,160.679
2026-04-30 06:19:00+00:00,1777529940,160.68,160.693,160.672,160.673
2026-04-30 06:20:00+00:00,1777530000,160.673,160.689,160.673,160.674
2026-04-30 06:21:00+00:00,1777530060,160.673,160.676,160.656,160.656
2026-04-30 06:22:00+00:00,1777530120,160.656,160.667,160.652,160.664
2026-04-30 06:23:00+00:00,1777530180,160.664,160.671,160.664,160.67
2026-04-30 06:24:00+00:00,1777530240,160.669,160.685,160.666,160.667
2026-04-30 06:25:00+00:00,1777530300,160.666,160.676,160.656,160.657
2026-04-30 06:26:00+00:00,1777530360,160.654,160.654,160.625,160.637
2026-04-30 06:27:00+00:00,1777530420,160.637,160.644,160.619,160.627
2026-04-30 06:28:00+00:00,1777530480,160.624,160.636,160.624,160.626
2026-04-30 06:29:00+00:00,1777530540,160.628,160.64,160.624,160.624
2026-04-30 06:30:00+00:00,1777530600,160.624,160.628,160.612,160.624
2026-04-30 06:31:00+00:00,1777530660,160.625,160.627,160.607,160.609
2026-04-30 06:32:00+00:00,1777530720,160.608,160.609,160.565,160.565
2026-04-30 06:33:00+00:00,1777530780,160.566,160.578,160.564,160.564
2026-04-30 06:34:00+00:00,1777530840,160.565,160.565,160.538,160.542
2026-04-30 06:35:00+00:00,1777530900,160.547,160.559,160.539,160.558
2026-04-30 06:36:00+00:00,1777530960,160.558,160.56,160.545,160.547
2026-04-30 06:37:00+00:00,1777531020,160.55,160.583,160.548,160.581
2026-04-30 06:38:00+00:00,1777531080,160.58,160.598,160.568,160.572
2026-04-30 06:39:00+00:00,1777531140,160.572,160.604,160.572,160.603
2026-04-30 06:40:00+00:00,1777531200,160.603,160.615,160.601,160.605
2026-04-30 06:41:00+00:00,1777531260,160.61,160.635,160.603,160.629
2026-04-30 06:42:00+00:00,1777531320,160.629,160.636,160.628,160.629
2026-04-30 06:43:00+00:00,1777531380,160.63,160.631,160.615,160.615
2026-04-30 06:44:00+00:00,1777531440,160.614,160.629,160.612,160.612
2026-04-30 06:45:00+00:00,1777531500,160.612,160.614,160.592,160.597
2026-04-30 06:46:00+00:00,1777531560,160.597,160.605,160.586,160.586
2026-04-30 06:47:00+00:00,1777531620,160.588,160.598,160.576,160.598
2026-04-30 06:48:00+00:00,1777531680,160.599,160.616,160.599,160.599
2026-04-30 06:49:00+00:00,1777531740,160.598,160.603,160.588,160.599
2026-04-30 06:50:00+00:00,1777531800,160.599,160.602,160.584,160.59
2026-04-30 06:51:00+00:00,1777531860,160.59,160.602,160.59,160.592
2026-04-30 06:52:00+00:00,1777531920,160.593,160.606,160.591,160.601
2026-04-30 06:53:00+00:00,1777531980,160.601,160.619,160.601,160.615
2026-04-30 06:54:00+00:00,1777532040,160.615,160.617,160.602,160.607
2026-04-30 06:55:00+00:00,1777532100,160.605,160.619,160.597,160.612
2026-04-30 06:56:00+00:00,1777532160,160.613,160.631,160.613,160.629
2026-04-30 06:57:00+00:00,1777532220,160.628,160.629,160.613,160.627
2026-04-30 06:58:00+00:00,1777532280,160.627,160.63,160.624,160.629
2026-04-30 06:59:00+00:00,1777532340,160.629,160.631,160.608,160.613
2026-04-30 07:00:00+00:00,1777532400,160.613,160.617,160.583,160.59
2026-04-30 07:01:00+00:00,1777532460,160.588,160.589,160.573,160.575
2026-04-30 07:02:00+00:00,1777532520,160.578,160.615,160.576,160.577
2026-04-30 07:03:00+00:00,1777532580,160.577,160.583,160.565,160.582
2026-04-30 07:04:00+00:00,1777532640,160.582,160.583,160.571,160.575
2026-04-30 07:05:00+00:00,1777532700,160.576,160.576,160.547,160.576
2026-04-30 07:06:00+00:00,1777532760,160.577,160.579,160.563,160.563
2026-04-30 07:07:00+00:00,1777532820,160.564,160.57,160.556,160.556
2026-04-30 07:08:00+00:00,1777532880,160.552,160.553,160.538,160.54
2026-04-30 07:09:00+00:00,1777532940,160.542,160.542,160.52,160.525
2026-04-30 07:10:00+00:00,1777533000,160.525,160.526,160.493,160.498
2026-04-30 07:11:00+00:00,1777533060,160.498,160.498,160.477,160.487
2026-04-30 07:12:00+00:00,1777533120,160.495,160.52,160.492,160.518
2026-04-30 07:13:00+00:00,1777533180,160.519,160.519,160.498,160.499
2026-04-30 07:14:00+00:00,1777533240,160.499,160.513,160.475,160.476
2026-04-30 07:15:00+00:00,1777533300,160.475,160.485,160.467,160.485
2026-04-30 07:16:00+00:00,1777533360,160.484,160.484,160.453,160.454
2026-04-30 07:17:00+00:00,1777533420,160.453,160.463,160.449,160.461
2026-04-30 07:18:00+00:00,1777533480,160.462,160.462,160.446,160.45
2026-04-30 07:19:00+00:00,1777533540,160.451,160.462,160.448,160.461
2026-04-30 07:20:00+00:00,1777533600,160.461,160.481,160.458,160.479
2026-04-30 07:21:00+00:00,1777533660,160.478,160.497,160.478,160.492
2026-04-30 07:22:00+00:00,1777533720,160.491,160.502,160.486,160.499
2026-04-30 07:23:00+00:00,1777533780,160.499,160.501,160.479,160.479
2026-04-30 07:24:00+00:00,1777533840,160.479,160.483,160.475,160.479
2026-04-30 07:25:00+00:00,1777533900,160.486,160.508,160.485,160.506
2026-04-30 07:26:00+00:00,1777533960,160.506,160.517,160.498,160.5
2026-04-30 07:27:00+00:00,1777534020,160.503,160.513,160.487,160.488
2026-04-30 07:28:00+00:00,1777534080,160.485,160.487,160.476,160.482
2026-04-30 07:29:00+00:00,1777534140,160.483,160.483,160.468,160.473
2026-04-30 07:30:00+00:00,1777534200,160.473,160.503,160.473,160.497
2026-04-30 07:31:00+00:00,1777534260,160.497,160.532,160.49,160.531
2026-04-30 07:32:00+00:00,1777534320,160.531,160.553,160.531,160.553
2026-04-30 07:33:00+00:00,1777534380,160.552,160.557,160.545,160.556
2026-04-30 07:34:00+00:00,1777534440,160.558,160.583,160.555,160.583
2026-04-30 07:35:00+00:00,1777534500,160.582,160.597,160.582,160.596
2026-04-30 07:36:00+00:00,1777534560,160.595,160.597,160.589,160.596
2026-04-30 07:37:00+00:00,1777534620,160.597,160.602,160.569,160.569
2026-04-30 07:38:00+00:00,1777534680,160.569,160.575,160.554,160.572
2026-04-30 07:39:00+00:00,1777534740,160.57,160.573,160.558,160.571
2026-04-30 07:40:00+00:00,1777534800,160.571,160.583,160.567,160.579
2026-04-30 07:41:00+00:00,1777534860,160.579,160.58,160.57,160.579
2026-04-30 07:42:00+00:00,1777534920,160.58,160.584,160.572,160.573
2026-04-30 07:43:00+00:00,1777534980,160.57,160.582,160.57,160.573
2026-04-30 07:44:00+00:00,1777535040,160.573,160.577,160.568,160.577
2026-04-30 07:45:00+00:00,1777535100,160.578,160.585,160.57,160.579
2026-04-30 07:46:00+00:00,1777535160,160.579,160.597,160.579,160.594
2026-04-30 07:47:00+00:00,1777535220,160.594,160.594,160.588,160.592
2026-04-30 07:48:00+00:00,1777535280,160.592,160.592,160.572,160.572
2026-04-30 07:49:00+00:00,1777535340,160.572,160.587,160.572,160.583
2026-04-30 07:50:00+00:00,1777535400,160.582,160.593,160.581,160.588
2026-04-30 07:51:00+00:00,1777535460,160.587,160.588,160.584,160.584
2026-04-30 07:52:00+00:00,1777535520,160.584,160.585,160.583,160.584
2026-04-30 07:53:00+00:00,1777535580,160.584,160.584,160.563,160.564
2026-04-30 07:54:00+00:00,1777535640,160.564,160.579,160.563,160.569
2026-04-30 07:55:00+00:00,1777535700,160.569,160.57,160.542,160.556
2026-04-30 07:56:00+00:00,1777535760,160.556,160.556,160.34,160.34
2026-04-30 07:57:00+00:00,1777535820,160.313,160.313,159.814,160.141
2026-04-30 07:58:00+00:00,1777535880,160.156,160.211,160.085,160.211
2026-04-30 07:59:00+00:00,1777535940,160.209,160.239,160.066,160.114
2026-04-30 08:00:00+00:00,1777536000,160.137,160.162,160.086,160.141
2026-04-30 08:01:00+00:00,1777536060,160.141,160.18,160.092,160.105
2026-04-30 08:02:00+00:00,1777536120,160.086,160.136,160.028,160.041
2026-04-30 08:03:00+00:00,1777536180,160.059,160.089,159.936,159.956
2026-04-30 08:04:00+00:00,1777536240,159.972,160.035,159.96,160.023
2026-04-30 08:05:00+00:00,1777536300,160.026,160.076,160.006,160.065
2026-04-30 08:06:00+00:00,1777536360,160.069,160.07,159.982,159.999
2026-04-30 08:07:00+00:00,1777536420,159.993,160.028,159.977,160.028
2026-04-30 08:08:00+00:00,1777536480,160.032,160.07,160.032,160.045
