month,date,dir,r,result,exit,spike
2025-09,2025-09-25,BUY,-1.0,L,SL,4.86
2025-10,2025-10-10,BUY,-1.0,L,SL,6.29
2025-10,2025-10-14,BUY,-1.0,L,SL,4.55
2025-10,2025-10-14,BUY,-1.0,L,SL,5.05
2025-10,2025-10-16,BUY,-1.0,L,SL,4.75
2025-11,2025-11-05,BUY,2.187,W,TIME,7.04
2025-12,2025-12-02,BUY,3.337,W,CHANDELIER,4.77
2025-12,2025-12-17,BUY,2.475,W,CHANDELIER,4.04
2026-01,2026-01-07,BUY,-1.0,L,SL,4.22
2026-02,2026-02-13,SELL,2.9,W,CHANDELIER,5.18
2026-02,2026-02-26,BUY,2.182,W,TIME,4.62
2026-03,2026-03-10,BUY,2.109,W,TIME,4.0
2026-03,2026-03-10,BUY,1.644,W,CHANDELIER,4.09
2026-03,2026-03-11,BUY,1.008,W,CHANDELIER,4.15
2026-03,2026-03-23,SELL,1.266,W,CHANDELIER,6.03
2026-03,2026-03-26,SELL,1.055,W,CHANDELIER,4.85
