month,date,dir,r,result,exit,spike
2025-08,2025-08-07,BUY,2.162,W,CHANDELIER,2.6
2025-08,2025-08-28,BUY,1.032,W,CHANDELIER,2.67
2025-09,2025-09-03,BUY,1.683,W,CHANDELIER,2.74
2025-09,2025-09-03,BUY,-1.0,L,SL,3.0
2025-09,2025-09-25,BUY,-1.0,L,SL,2.51
2025-10,2025-10-06,BUY,1.52,W,CHANDELIER,3.11
2025-10,2025-10-06,BUY,2.435,W,TIME,3.31
2025-10,2025-10-08,BUY,1.123,W,CHANDELIER,3.28
2025-10,2025-10-10,BUY,-1.0,L,SL,6.29
2025-10,2025-10-13,BUY,5.619,W,CHANDELIER,2.64
2025-10,2025-10-15,BUY,-1.0,L,SL,2.92
2025-10,2025-10-15,BUY,-1.0,L,SL,2.58
2025-10,2025-10-16,BUY,-1.0,L,SL,2.58
2025-10,2025-10-24,SELL,2.867,W,CHANDELIER,2.56
2025-10,2025-10-24,SELL,0.5,W,SL,2.52
2025-11,2025-11-10,BUY,2.263,W,CHANDELIER,2.76
2025-11,2025-11-11,BUY,2.6,W,CHANDELIER,2.83
2025-12,2025-12-10,BUY,-1.0,L,SL,2.68
2025-12,2025-12-11,BUY,-1.0,L,SL,3.97
2025-12,2025-12-15,BUY,-1.0,L,SL,2.77
2025-12,2025-12-17,BUY,2.475,W,CHANDELIER,4.04
2025-12,2025-12-30,BUY,-1.0,L,SL,3.3
2026-01,2026-01-02,BUY,0.5,W,SL,2.68
2026-01,2026-01-05,BUY,-1.0,L,SL,3.62
2026-01,2026-01-12,BUY,-1.0,L,SL,2.64
2026-01,2026-01-23,BUY,-1.0,L,SL,2.69
2026-01,2026-01-27,BUY,-1.0,L,SL,2.54
2026-02,2026-02-05,SELL,3.002,W,TIME,2.71
2026-02,2026-02-11,BUY,0.924,W,CHANDELIER,2.54
2026-02,2026-02-20,BUY,-1.0,L,SL,2.63
2026-02,2026-02-24,BUY,2.14,W,CHANDELIER,2.75
2026-02,2026-02-27,BUY,2.683,W,TIME,2.66
2026-03,2026-03-06,SELL,1.638,W,CHANDELIER,3.08
2026-03,2026-03-26,SELL,1.055,W,CHANDELIER,4.85
