month,date,dir,r,result,exit,spike
2025-09,2025-09-04,BUY,-1.0,L,SL,3.14
2025-10,2025-10-06,BUY,1.855,W,TIME,3.15
2025-10,2025-10-08,BUY,1.13,W,CHANDELIER,3.9
2025-10,2025-10-20,BUY,-1.0,L,SL,3.13
2025-11,2025-11-13,BUY,-1.0,L,SL,3.06
2025-11,2025-11-25,BUY,3.816,W,CHANDELIER,4.52
2025-11,2025-11-26,BUY,2.389,W,TIME,3.03
2025-11,2025-11-28,BUY,-1.0,L,SL,3.21
2025-12,2025-12-18,BUY,0.916,W,TIME,3.26
2026-01,2026-01-21,BUY,-1.0,L,SL,3.48
2026-01,2026-01-28,BUY,1.5,W,TIME,3.19
2026-01,2026-01-28,BUY,2.425,W,TIME,3.61
2026-02,2026-02-25,BUY,-1.0,L,SL,3.58
2026-03,2026-03-10,BUY,2.635,W,TIME,4.46
2026-03,2026-03-31,BUY,2.15,W,CHANDELIER,3.31
2026-04,2026-04-14,BUY,2.165,W,TIME,3.33
