month,date,dir,r,result,exit,spike
2025-07,2025-07-21,BUY,-1.0,L,SL,3.19
2025-09,2025-09-04,BUY,-1.0,L,SL,3.14
2025-09,2025-09-09,BUY,-1.0,L,SL,3.21
2025-09,2025-09-23,BUY,-1.0,L,SL,3.54
2025-10,2025-10-06,BUY,1.883,W,TIME,3.15
2025-10,2025-10-08,BUY,1.13,W,CHANDELIER,3.9
2025-10,2025-10-14,BUY,-1.0,L,SL,4.97
2025-10,2025-10-20,BUY,-1.0,L,SL,3.13
2025-11,2025-11-13,BUY,-1.0,L,SL,3.06
2025-11,2025-11-25,BUY,3.816,W,CHANDELIER,4.52
2025-11,2025-11-26,BUY,1.552,W,CHANDELIER,3.03
2025-11,2025-11-28,BUY,-1.0,L,SL,3.21
2025-12,2025-12-18,BUY,0.101,W,TIME,3.26
2025-12,2025-12-24,BUY,2.644,W,TIME,4.76
2026-01,2026-01-02,BUY,-1.0,L,SL,3.56
2026-01,2026-01-07,BUY,-1.0,L,SL,3.53
2026-01,2026-01-12,BUY,2.242,W,CHANDELIER,3.14
2026-01,2026-01-13,BUY,3.267,W,TIME,3.24
2026-01,2026-01-21,BUY,-1.0,L,SL,3.48
2026-01,2026-01-21,BUY,-1.0,L,SL,3.94
2026-01,2026-01-23,BUY,2.834,W,TIME,3.0
2026-01,2026-01-28,BUY,3.962,W,TIME,3.19
2026-01,2026-01-28,BUY,2.83,W,TIME,3.61
2026-01,2026-01-29,BUY,3.094,W,CHANDELIER,3.11
2026-02,2026-02-24,BUY,0.5,W,SL,3.33
2026-02,2026-02-25,BUY,-1.0,L,SL,3.58
2026-03,2026-03-10,BUY,1.55,W,CHANDELIER,4.46
2026-03,2026-03-25,BUY,-1.0,L,SL,3.17
2026-03,2026-03-31,BUY,2.15,W,CHANDELIER,3.31
2026-04,2026-04-02,BUY,-1.0,L,SL,4.24
2026-04,2026-04-14,BUY,1.323,W,CHANDELIER,3.33
