month,date,dir,r,result,exit,spike
2025-07,2025-07-22,BUY,2.202,W,CHANDELIER,2.79
2025-09,2025-09-02,BUY,-1.0,L,SL,3.21
2025-09,2025-09-05,BUY,1.226,W,CHANDELIER,5.49
2025-09,2025-09-11,BUY,0.914,W,CHANDELIER,2.55
2025-10,2025-10-03,BUY,4.936,W,CHANDELIER,2.84
2025-10,2025-10-08,BUY,4.509,W,CHANDELIER,2.86
2025-10,2025-10-09,BUY,0.855,W,TIME,2.64
2025-10,2025-10-14,BUY,2.534,W,CHANDELIER,3.45
2025-10,2025-10-15,BUY,-1.0,L,SL,2.79
2025-10,2025-10-29,BUY,1.512,W,CHANDELIER,4.08
2025-11,2025-11-24,BUY,1.673,W,CHANDELIER,2.61
2025-12,2025-12-16,BUY,2.653,W,CHANDELIER,2.92
2025-12,2025-12-18,BUY,-1.0,L,SL,2.87
2025-12,2025-12-19,BUY,-1.0,L,SL,2.88
2026-01,2026-01-05,BUY,1.701,W,TIME,2.62
2026-01,2026-01-05,BUY,1.878,W,TIME,2.83
2026-01,2026-01-26,BUY,2.862,W,CHANDELIER,3.76
2026-02,2026-02-06,BUY,1.025,W,CHANDELIER,2.81
2026-02,2026-02-10,BUY,2.059,W,TIME,2.69
2026-02,2026-02-16,BUY,-1.0,L,SL,2.69
2026-03,2026-03-31,BUY,-1.0,L,SL,2.89
2026-04,2026-04-06,BUY,2.001,W,CHANDELIER,2.9
2026-04,2026-04-08,BUY,0.942,W,CHANDELIER,2.68
