month,date,dir,r,result,exit,spike
2025-07,2025-07-15,SELL,2.824,W,CHANDELIER,3.93
2025-07,2025-07-18,BUY,2.484,W,CHANDELIER,3.29
2025-07,2025-07-23,SELL,0.5,W,SL,3.03
2025-07,2025-07-24,SELL,-1.0,L,SL,4.51
2025-07,2025-07-28,BUY,1.34,W,CHANDELIER,4.01
2025-07,2025-07-28,BUY,0.888,W,CHANDELIER,3.3
2025-07,2025-07-31,BUY,1.23,W,CHANDELIER,3.38
2025-08,2025-08-06,SELL,-1.0,L,SL,3.39
2025-08,2025-08-07,SELL,3.056,W,CHANDELIER,3.09
2025-08,2025-08-07,SELL,2.154,W,CHANDELIER,3.42
2025-08,2025-08-20,SELL,1.046,W,TIME,3.72
2025-09,2025-09-02,BUY,-1.0,L,SL,3.09
2025-09,2025-09-02,BUY,-1.0,L,SL,3.21
2025-09,2025-09-05,BUY,1.226,W,CHANDELIER,5.49
2025-09,2025-09-11,SELL,1.074,W,CHANDELIER,3.1
2025-09,2025-09-17,SELL,-1.0,L,SL,3.02
2025-09,2025-09-19,SELL,2.046,W,CHANDELIER,3.07
2025-10,2025-10-06,BUY,3.379,W,TIME,3.31
2025-10,2025-10-14,BUY,2.534,W,CHANDELIER,3.45
2025-10,2025-10-21,BUY,-1.0,L,SL,3.37
2025-10,2025-10-24,SELL,1.404,W,CHANDELIER,3.1
2025-10,2025-10-28,SELL,-1.0,L,SL,4.59
2025-10,2025-10-28,BUY,1.491,W,CHANDELIER,3.17
2025-10,2025-10-29,BUY,1.512,W,CHANDELIER,4.08
2025-10,2025-10-30,BUY,-1.0,L,SL,3.02
2025-12,2025-12-10,BUY,1.428,W,CHANDELIER,3.2
2026-01,2026-01-07,BUY,-1.0,L,SL,3.02
2026-01,2026-01-19,BUY,3.738,W,CHANDELIER,3.17
2026-01,2026-01-26,BUY,2.862,W,CHANDELIER,3.76
2026-02,2026-02-24,SELL,2.716,W,CHANDELIER,3.57
2026-03,2026-03-18,SELL,0.955,W,CHANDELIER,3.86
2026-03,2026-03-20,BUY,-1.0,L,SL,3.03
2026-04,2026-04-23,BUY,-1.0,L,SL,3.85
