month,date,dir,r,result,exit,spike
2025-07,2025-07-21,SELL,1.197,W,CHANDELIER,2.03
2025-07,2025-07-21,SELL,-0.632,L,TIME,2.06
2025-07,2025-07-23,SELL,1.018,W,CHANDELIER,2.43
2025-07,2025-07-23,SELL,-1.0,L,SL,2.95
2025-07,2025-07-24,SELL,1.821,W,TIME,2.39
2025-07,2025-07-28,SELL,-1.0,L,SL,2.34
2025-07,2025-07-30,SELL,2.158,W,TIME,2.19
2025-07,2025-07-30,SELL,-1.0,L,SL,2.04
2025-08,2025-08-06,SELL,-0.466,L,TIME,2.13
2025-08,2025-08-08,SELL,-1.0,L,SL,2.37
2025-08,2025-08-11,SELL,-1.0,L,SL,2.08
2025-08,2025-08-13,SELL,1.212,W,TIME,2.07
2025-08,2025-08-19,SELL,2.124,W,TIME,2.25
2025-08,2025-08-22,SELL,0.307,W,TIME,2.17
2025-08,2025-08-25,SELL,-1.0,L,SL,2.13
2025-09,2025-09-03,SELL,-1.0,L,SL,2.27
2025-09,2025-09-04,SELL,1.174,W,CHANDELIER,2.01
2025-09,2025-09-15,SELL,1.988,W,TIME,2.2
2025-09,2025-09-17,SELL,1.348,W,CHANDELIER,2.89
2025-09,2025-09-19,SELL,0.846,W,TIME,2.28
2025-09,2025-09-22,SELL,1.68,W,TIME,2.16
2025-09,2025-09-23,SELL,1.121,W,CHANDELIER,2.42
2025-09,2025-09-24,SELL,2.044,W,TIME,2.04
2025-10,2025-10-01,SELL,3.233,W,CHANDELIER,2.33
2025-10,2025-10-03,SELL,-1.0,L,SL,2.15
2025-10,2025-10-06,SELL,5.475,W,CHANDELIER,3.04
2025-10,2025-10-09,SELL,-1.0,L,SL,2.35
2025-10,2025-10-17,SELL,2.794,W,CHANDELIER,2.15
2025-10,2025-10-20,SELL,-1.0,L,SL,2.17
2025-10,2025-10-22,SELL,-1.0,L,SL,2.78
2025-10,2025-10-22,SELL,-1.0,L,SL,2.43
2025-10,2025-10-24,SELL,2.209,W,TIME,2.86
2025-10,2025-10-24,SELL,1.509,W,TIME,3.69
2025-10,2025-10-28,SELL,-1.0,L,SL,2.59
2025-10,2025-10-28,SELL,1.464,W,TIME,2.43
2025-10,2025-10-30,SELL,2.054,W,CHANDELIER,3.48
2025-10,2025-10-31,SELL,-1.0,L,SL,2.36
2025-11,2025-11-03,SELL,-1.0,L,SL,2.32
2025-11,2025-11-12,SELL,-1.0,L,SL,3.07
2025-11,2025-11-20,SELL,0.976,W,CHANDELIER,2.4
2025-12,2025-12-03,SELL,-1.0,L,SL,2.04
2025-12,2025-12-10,SELL,1.572,W,CHANDELIER,2.43
2025-12,2025-12-29,SELL,1.597,W,CHANDELIER,2.88
2025-12,2025-12-31,SELL,-0.403,L,TIME,2.19
2026-01,2026-01-07,SELL,-1.0,L,SL,2.23
2026-01,2026-01-13,SELL,2.074,W,CHANDELIER,2.85
2026-01,2026-01-15,SELL,2.33,W,CHANDELIER,2.02
2026-01,2026-01-16,SELL,-1.0,L,SL,2.77
2026-01,2026-01-30,SELL,4.433,W,CHANDELIER,2.43
2026-02,2026-02-03,SELL,-1.0,L,SL,2.15
2026-02,2026-02-05,SELL,3.564,W,TIME,2.08
2026-02,2026-02-11,SELL,1.007,W,CHANDELIER,2.49
2026-02,2026-02-12,SELL,1.691,W,CHANDELIER,2.46
2026-02,2026-02-13,SELL,-1.0,L,SL,2.4
2026-02,2026-02-13,SELL,0.992,W,TIME,2.17
2026-02,2026-02-13,SELL,1.97,W,TIME,2.01
2026-02,2026-02-13,SELL,3.065,W,CHANDELIER,2.68
2026-02,2026-02-17,SELL,-1.0,L,SL,2.04
2026-02,2026-02-17,SELL,1.462,W,CHANDELIER,2.88
2026-02,2026-02-24,SELL,-1.0,L,SL,2.24
2026-02,2026-02-26,SELL,-1.0,L,SL,2.12
2026-03,2026-03-02,SELL,1.056,W,CHANDELIER,3.74
2026-03,2026-03-02,SELL,0.405,W,TIME,4.02
2026-03,2026-03-03,SELL,3.352,W,CHANDELIER,2.94
2026-03,2026-03-05,SELL,-1.0,L,SL,2.03
2026-03,2026-03-06,SELL,2.508,W,CHANDELIER,2.36
2026-03,2026-03-11,SELL,2.106,W,CHANDELIER,2.32
2026-03,2026-03-16,SELL,0.848,W,CHANDELIER,2.07
2026-03,2026-03-16,SELL,0.403,W,TIME,2.34
2026-03,2026-03-18,SELL,-1.0,L,SL,2.07
2026-03,2026-03-18,SELL,3.299,W,TIME,2.02
2026-03,2026-03-19,SELL,-1.0,L,SL,2.21
2026-03,2026-03-26,SELL,-1.0,L,SL,2.26
2026-04,2026-04-13,SELL,-1.0,L,SL,2.92
2026-04,2026-04-13,SELL,0.946,W,TIME,2.36
2026-04,2026-04-17,SELL,-0.337,L,TIME,2.02
2026-04,2026-04-27,SELL,-1.0,L,SL,2.08
2026-04,2026-04-28,SELL,2.315,W,TIME,2.44
2026-04,2026-04-29,SELL,1.214,W,CHANDELIER,3.38
