strategy,h1_ema,spike_mult,hold,dir,session,regime,n,wr,pf,avg_r,oos_pf,months,tpm,m5_ema,zone_atr
SPIKE,50,4.0,18,BOTH,False,counter,16,0.625,3.3605000000000005,0.8851874999999998,0.0,7,2.2857142857142856,,
SPIKE,50,4.0,24,BOTH,False,counter,16,0.625,3.2895000000000003,0.8585624999999999,0.0,7,2.2857142857142856,,
SPIKE,50,4.0,12,BOTH,False,counter,16,0.625,3.244666666666667,0.8417499999999999,0.0,7,2.2857142857142856,,
SPIKE,21,2.5,12,SELL,False,counter,15,0.6,3.202950633629658,0.7764666666666666,0.0,5,3.0,,
SPIKE,14,2.5,48,BOTH,True,counter,32,0.5625,2.844785714285714,0.80709375,6.999,8,4.0,,
SPIKE,50,4.0,48,BOTH,False,counter,15,0.6,2.8351666666666664,0.7340666666666668,0.0,7,2.142857142857143,,
SPIKE,50,4.0,36,BOTH,False,counter,15,0.6,2.8351666666666664,0.7340666666666668,0.0,7,2.142857142857143,,
SPIKE,14,2.5,36,BOTH,True,counter,33,0.5454545454545454,2.699533333333333,0.7725151515151516,4.6659999999999995,8,4.125,,
SPIKE,21,2.5,24,SELL,False,counter,15,0.5333333333333333,2.67769130998703,0.6898666666666666,0.0,5,3.0,,
SPIKE,14,2.5,24,BOTH,True,counter,34,0.5588235294117647,2.5480666666666663,0.682970588235294,3.8139999999999996,8,4.25,,
SPIKE,21,2.5,18,SELL,False,counter,15,0.5333333333333333,2.5417054263565895,0.6629333333333333,0.0,5,3.0,,
SPIKE,14,2.5,12,BOTH,True,counter,34,0.5588235294117647,2.5358666666666663,0.6775882352941176,3.840333333333333,8,4.25,,
SPIKE,21,4.0,48,BUY,False,any,19,0.5263157894736842,2.5122222222222224,0.7163157894736841,4.8405,8,2.375,,
SPIKE,14,4.0,48,BUY,False,any,19,0.5263157894736842,2.5122222222222224,0.7163157894736841,4.8405,8,2.375,,
SPIKE,50,4.0,48,BUY,False,any,19,0.5263157894736842,2.5122222222222224,0.7163157894736841,4.8405,8,2.375,,
SPIKE,50,4.0,18,BUY,False,any,20,0.55,2.4987777777777778,0.67445,3.204,8,2.5,,
SPIKE,21,4.0,18,BUY,False,any,20,0.55,2.4987777777777778,0.67445,3.204,8,2.5,,
SPIKE,14,4.0,18,BUY,False,any,20,0.55,2.4987777777777778,0.67445,3.204,8,2.5,,
SPIKE,14,2.5,18,BOTH,True,counter,34,0.5588235294117647,2.4780666666666664,0.6520882352941176,3.497666666666666,8,4.25,,
SPIKE,50,4.0,24,BUY,False,any,20,0.55,2.4691111111111113,0.6611,3.2835,8,2.5,,
SPIKE,14,4.0,24,BUY,False,any,20,0.55,2.4691111111111113,0.6611,3.2835,8,2.5,,
SPIKE,21,4.0,24,BUY,False,any,20,0.55,2.4691111111111113,0.6611,3.2835,8,2.5,,
SPIKE,21,2.5,48,BOTH,True,counter,38,0.5263157894736842,2.4505555555555554,0.6871052631578948,9.1405,8,4.75,,
SPIKE,50,4.0,36,BUY,False,any,19,0.5263157894736842,2.3748888888888886,0.6512631578947368,4.2225,8,2.375,,
SPIKE,14,4.0,36,BUY,False,any,19,0.5263157894736842,2.3748888888888886,0.6512631578947368,4.2225,8,2.375,,
SPIKE,21,4.0,36,BUY,False,any,19,0.5263157894736842,2.3748888888888886,0.6512631578947368,4.2225,8,2.375,,
SPIKE,14,2.5,48,BOTH,False,counter,70,0.5285714285714286,2.3721212121212125,0.6468571428571428,2.2523333333333335,10,7.0,,
SPIKE,21,2.5,36,BOTH,True,counter,39,0.5128205128205128,2.3566315789473684,0.6609230769230768,9.1405,8,4.875,,
SPIKE,14,2.5,36,BOTH,False,counter,71,0.5211267605633803,2.321941176470589,0.6330422535211268,2.2523333333333335,10,7.1,,
SPIKE,21,4.0,12,BUY,False,any,20,0.55,2.3203333333333336,0.5941500000000002,2.747,8,2.5,,
SPIKE,14,4.0,12,BUY,False,any,20,0.55,2.3203333333333336,0.5941500000000002,2.747,8,2.5,,
SPIKE,50,4.0,12,BUY,False,any,20,0.55,2.3203333333333336,0.5941500000000002,2.747,8,2.5,,
SPIKE,50,3.5,12,BOTH,False,counter,26,0.5769230769230769,2.314272727272727,0.5560384615384616,inf,9,2.888888888888889,,
SPIKE,14,2.5,18,BOTH,False,counter,74,0.527027027027027,2.290942857142858,0.6105810810810811,1.7262,10,7.4,,
SPIKE,14,2.5,12,BOTH,False,counter,74,0.5405405405405406,2.289705882352941,0.5925675675675675,1.8815555555555556,10,7.4,,
SPIKE,21,2.5,24,BOTH,True,counter,40,0.525,2.237052631578947,0.5875999999999999,7.8625,8,5.0,,
SPIKE,21,2.5,12,BOTH,True,counter,40,0.525,2.2274210526315787,0.5830249999999999,7.902,8,5.0,,
SPIKE,14,2.5,48,BUY,True,counter,28,0.5,2.226642857142857,0.6133214285714287,2.05275,7,4.0,,
SPIKE,14,2.5,24,BOTH,False,counter,73,0.5205479452054794,2.2235714285714288,0.5866438356164383,1.7715,10,7.3,,
SPIKE,21,2.5,18,BOTH,True,counter,40,0.525,2.1817894736842107,0.56135,7.388,8,5.0,,
SPIKE,50,3.5,18,BOTH,False,counter,26,0.5384615384615384,2.1573333333333333,0.5341538461538462,9.264,9,2.888888888888889,,
SPIKE,50,2.5,12,SELL,False,counter,23,0.5217391304347826,2.13832993098085,0.5091304347826087,0.925,6,3.8333333333333335,,
SPIKE,50,4.0,48,BOTH,False,any,29,0.5172413793103449,2.1248571428571426,0.5430344827586207,2.7784999999999997,10,2.9,,
SPIKE,14,4.0,48,BOTH,False,any,29,0.5172413793103449,2.1248571428571426,0.5430344827586207,2.7784999999999997,10,2.9,,
SPIKE,21,4.0,48,BOTH,False,any,29,0.5172413793103449,2.1248571428571426,0.5430344827586207,2.7784999999999997,10,2.9,,
SPIKE,14,2.5,36,BUY,True,counter,29,0.4827586206896552,2.1226,0.580655172413793,1.6422,7,4.142857142857143,,
