strategy,h1_ema,spike_mult,hold,dir,session,regime,n,wr,pf,avg_r,oos_pf,months,tpm,m5_ema,zone_atr
SPIKE,21,3.0,12,BUY,True,counter,16,0.625,3.4968333333333326,0.9363124999999999,0.0,8,2.0,,
SPIKE,21,3.0,36,BUY,True,counter,16,0.625,3.3981666666666666,0.8993125,0.0,8,2.0,,
SPIKE,21,3.0,24,BUY,True,counter,16,0.625,3.3828333333333336,0.8935625,0.0,8,2.0,,
SPIKE,21,3.0,48,BUY,True,counter,16,0.625,3.3191666666666664,0.8696875,0.0,8,2.0,,
SPIKE,21,3.0,18,BUY,True,counter,16,0.625,3.2063333333333333,0.827375,0.0,8,2.0,,
SPIKE,14,3.0,24,BUY,False,counter,20,0.55,2.854333333333334,0.83445,0.782,8,2.5,,
SPIKE,14,3.0,36,BUY,False,counter,20,0.55,2.834888888888889,0.8257,0.782,8,2.5,,
SPIKE,14,3.0,48,BUY,False,counter,20,0.55,2.781888888888889,0.80185,0.782,8,2.5,,
SPIKE,14,3.0,12,BUY,False,counter,20,0.55,2.6865555555555556,0.7589499999999999,1.0626666666666666,8,2.5,,
SPIKE,14,3.0,18,BUY,False,counter,20,0.55,2.656777777777778,0.74555,0.9953333333333333,8,2.5,,
SPIKE,21,3.0,12,BUY,False,counter,24,0.5416666666666666,2.6233636363636363,0.7440416666666666,2.316666666666667,9,2.6666666666666665,,
SPIKE,21,3.0,36,BUY,False,counter,24,0.5416666666666666,2.5962727272727273,0.7316250000000001,1.6743333333333332,9,2.6666666666666665,,
SPIKE,21,3.0,24,BUY,False,counter,24,0.5416666666666666,2.587909090909091,0.7277916666666666,1.6743333333333332,9,2.6666666666666665,,
SPIKE,21,3.0,48,BUY,False,counter,24,0.5416666666666666,2.553181818181818,0.711875,1.6743333333333332,9,2.6666666666666665,,
SPIKE,50,3.0,48,BUY,True,counter,22,0.5454545454545454,2.5491,0.7041363636363637,2.7615,8,2.75,,
SPIKE,50,3.0,36,BUY,True,counter,22,0.5454545454545454,2.5342000000000002,0.6973636363636364,2.7615,8,2.75,,
SPIKE,21,3.0,18,BUY,False,counter,24,0.5416666666666666,2.4940909090909096,0.6847916666666668,1.8876666666666668,9,2.6666666666666665,,
SPIKE,14,3.0,24,BOTH,True,counter,17,0.5294117647058824,2.4755,0.6943529411764707,3.221,8,2.125,,
SPIKE,14,3.0,36,BOTH,True,counter,17,0.5294117647058824,2.4536249999999997,0.6840588235294118,3.386,8,2.125,,
SPIKE,50,3.0,24,BUY,True,counter,22,0.5454545454545454,2.4064,0.6392727272727273,2.7615,8,2.75,,
SPIKE,14,3.0,48,BOTH,True,counter,17,0.5294117647058824,2.394,0.656,3.2475000000000005,8,2.125,,
