strategy,h1_ema,spike_mult,hold,dir,session,regime,n,wr,pf,avg_r,oos_pf,months,tpm,m5_ema,zone_atr
SPIKE,50,3.0,24,BUY,False,counter,31,0.5161290322580645,2.3252,0.6412258064516129,2.8723333333333336,9,3.4444444444444446,,
SPIKE,14,1.5,6,SELL,True,counter,108,0.6018518518518519,2.2836854430539115,0.4720277777777778,1.577263189448441,11,9.818181818181818,,
SPIKE,21,2.0,6,SELL,True,counter,30,0.5666666666666667,2.1560535891498507,0.46596666666666664,1.8040000000000003,8,3.75,,
SPIKE,50,3.0,12,BUY,False,counter,32,0.5,2.1224375,0.56121875,3.514666666666667,9,3.5555555555555554,,
SPIKE,50,3.0,6,BUY,False,counter,32,0.53125,2.1022666666666665,0.5166875,3.4599999999999995,9,3.5555555555555554,,
SPIKE,50,3.0,18,BUY,False,counter,32,0.5,2.0785,0.53925,3.085666666666667,9,3.5555555555555554,,
SPIKE,14,2.0,12,BOTH,True,counter,92,0.4782608695652174,2.0354943860919956,0.5282934782608695,1.9557832299811273,10,9.2,,
SPIKE,21,2.0,12,SELL,True,counter,30,0.5,2.0292370020256585,0.5081000000000001,1.73725,8,3.75,,
SPIKE,14,2.0,6,BOTH,True,counter,92,0.532608695652174,1.9659819801831933,0.42069565217391297,2.5931111111111114,10,9.2,,
SPIKE,21,1.5,6,SELL,True,counter,113,0.5575221238938053,1.930685069118385,0.37714159292035404,1.2588105726872245,11,10.272727272727273,,
SPIKE,21,3.0,12,BOTH,False,counter,34,0.47058823529411764,1.924166666666667,0.4892647058823529,1.8478,10,3.4,,
SPIKE,14,1.5,18,SELL,True,counter,102,0.5196078431372549,1.916257789371261,0.43390196078431376,1.405357142857143,11,9.272727272727273,,
PULLBACK,21,0.0,6,—,True,—,985,0.5512690355329949,1.9085590121086597,0.3536111675126904,1.5910037897577334,11,89.54545454545455,50.0,0.3
SPIKE,21,3.0,24,BOTH,False,counter,34,0.47058823529411764,1.9025000000000003,0.47779411764705887,1.4624000000000001,10,3.4,,
SPIKE,50,3.0,24,BOTH,True,counter,30,0.5,1.890866666666667,0.4454333333333334,1.8280000000000003,9,3.3333333333333335,,
SPIKE,14,2.0,6,SELL,False,counter,49,0.5306122448979592,1.8867254984358222,0.3875714285714286,2.048,9,5.444444444444445,,
SPIKE,50,3.0,12,BOTH,True,counter,30,0.5,1.8800666666666668,0.44003333333333333,2.30975,9,3.3333333333333335,,
SPIKE,14,1.5,12,SELL,True,counter,106,0.5,1.8763138063697296,0.41687735849056606,1.3190099915104814,11,9.636363636363637,,
SPIKE,14,2.0,12,SELL,False,counter,49,0.46938775510204084,1.8744672607516464,0.4606122448979592,2.3700000000000006,9,5.444444444444445,,
SPIKE,14,1.5,24,SELL,True,counter,98,0.5204081632653061,1.8452553191489356,0.4053775510204082,1.3845714285714286,11,8.909090909090908,,
SPIKE,21,3.0,18,BOTH,False,counter,34,0.47058823529411764,1.8451666666666666,0.4474411764705883,1.5904000000000003,10,3.4,,
SPIKE,14,2.0,18,BOTH,True,counter,90,0.4777777777777778,1.8428936170212766,0.4401777777777778,1.788636363636364,10,9.0,,
SPIKE,14,2.0,12,BUY,True,counter,67,0.44776119402985076,1.8389570127605397,0.4523731343283582,1.6537745151747563,10,6.7,,
PULLBACK,21,0.0,6,—,True,—,1322,0.5355521936459909,1.8271383149048763,0.33295007564296525,1.86283033888516,11,120.18181818181819,50.0,0.5
PULLBACK,21,0.0,6,—,False,—,1514,0.5389696169088507,1.82219652466695,0.33483817701453106,1.6199235248544221,11,137.63636363636363,50.0,0.3
SPIKE,50,3.0,18,BOTH,True,counter,30,0.5,1.792066666666667,0.39603333333333335,1.9880000000000002,9,3.3333333333333335,,
SPIKE,14,1.5,6,BOTH,True,counter,330,0.5272727272727272,1.7909414160941766,0.3471393939393939,1.8226651512211347,11,30.0,,
SPIKE,50,3.0,6,BOTH,True,counter,30,0.5,1.7839333333333334,0.3919666666666667,2.1702500000000002,9,3.3333333333333335,,
SPIKE,14,2.0,24,BOTH,True,counter,90,0.45555555555555555,1.7709611026797778,0.4120444444444444,1.6979090909090908,10,9.0,,
PULLBACK,21,0.0,6,—,False,—,1966,0.5284842319430315,1.7681483193385206,0.319528992878942,1.7966157492757442,11,178.72727272727272,50.0,0.5
PULLBACK,21,0.0,12,—,True,—,794,0.49748110831234255,1.7433139466062701,0.3558891687657431,1.35729078552052,11,72.18181818181819,50.0,0.3
SPIKE,14,2.5,12,BUY,False,counter,33,0.45454545454545453,1.7419898819561552,0.39999999999999997,1.4396659707724426,10,3.3,,
SPIKE,21,3.0,6,BOTH,False,counter,34,0.47058823529411764,1.7412222222222222,0.3924117647058823,1.7362000000000002,10,3.4,,
PULLBACK,21,0.0,6,—,True,—,1656,0.5362318840579711,1.7354305950544244,0.3031026570048309,1.746987879370881,11,150.54545454545453,50.0,0.75
SPIKE,14,2.0,18,SELL,False,counter,47,0.46808510638297873,1.7326399999999995,0.3897021276595745,1.8736666666666668,9,5.222222222222222,,
PULLBACK,21,0.0,6,—,False,—,2225,0.5289887640449438,1.7237889600591652,0.3061357303370787,1.7166058159013786,11,202.27272727272728,50.0,0.75
PULLBACK,21,0.0,18,—,True,—,686,0.4912536443148688,1.7190071119788035,0.3607696793002915,1.3433255124722152,11,62.36363636363637,50.0,0.3
SPIKE,14,2.0,24,SELL,False,counter,47,0.46808510638297873,1.7104399999999997,0.37789361702127666,1.839666666666667,9,5.222222222222222,,
SPIKE,14,2.0,6,BUY,True,counter,67,0.4925373134328358,1.706301798279906,0.3370746268656717,2.4550000000000005,10,6.7,,
SPIKE,14,1.5,6,SELL,False,counter,221,0.5203619909502263,1.7009265700775336,0.3145701357466063,1.4208050717475038,11,20.09090909090909,,
SPIKE,14,2.0,18,BUY,True,counter,66,0.45454545454545453,1.69875,0.38113636363636366,1.5133333333333334,10,6.6,,
PULLBACK,21,0.0,24,—,True,—,613,0.4812398042414356,1.6878118792118546,0.3541468189233279,1.1919231153380903,11,55.72727272727273,50.0,0.3
SPIKE,21,2.5,6,BUY,False,counter,41,0.4878048780487805,1.687,0.35187804878048784,2.8890000000000002,10,4.1,,
PULLBACK,21,0.0,12,—,False,—,1213,0.4905193734542457,1.6863385068520618,0.3357971970321517,1.5442962045008108,11,110.27272727272727,50.0,0.3
SPIKE,50,3.0,24,BOTH,False,counter,44,0.45454545454545453,1.680833333333333,0.37136363636363634,0.8837142857142857,10,4.4,,
SPIKE,21,1.5,12,SELL,True,counter,111,0.46846846846846846,1.6783220501187395,0.3448198198198198,1.033038757003408,11,10.090909090909092,,
SPIKE,14,2.5,6,BUY,False,counter,33,0.48484848484848486,1.6533529411764705,0.33657575757575753,1.78275,10,3.3,,
SPIKE,14,1.5,12,BOTH,True,counter,320,0.45625,1.65139683368541,0.34304999999999997,1.22551604398431,11,29.09090909090909,,
PULLBACK,21,0.0,12,—,True,—,1004,0.4820717131474104,1.64667378027832,0.3187161354581673,1.6502986173607133,11,91.27272727272727,50.0,0.5
SPIKE,21,2.5,12,BUY,False,counter,41,0.43902439024390244,1.6460289600702063,0.3590975609756097,1.8407599309153708,10,4.1,,
PULLBACK,21,0.0,18,—,False,—,1048,0.4799618320610687,1.6440552070077559,0.3317738549618321,1.5451004451546628,11,95.27272727272727,50.0,0.3
SPIKE,14,2.5,24,BUY,False,counter,33,0.42424242424242425,1.6408947368421054,0.369,1.1126,10,3.3,,
SPIKE,21,1.5,18,SELL,True,counter,105,0.47619047619047616,1.632359169843287,0.32703809523809524,1.0851250000000001,11,9.545454545454545,,
SPIKE,14,2.0,12,BOTH,False,counter,166,0.42771084337349397,1.631813671620771,0.3567349397590361,1.1118570822240228,10,16.6,,
SPIKE,21,2.0,12,BOTH,True,counter,113,0.4336283185840708,1.6303128525350745,0.3510619469026549,2.3427287270511163,10,11.3,,
SPIKE,50,2.5,6,BUY,True,counter,39,0.48717948717948717,1.6299500000000002,0.32305128205128203,4.240666666666667,9,4.333333333333333,,
PULLBACK,21,0.0,24,—,False,—,929,0.4703982777179763,1.6273817722681359,0.3294747039827772,1.3853769056487846,11,84.45454545454545,50.0,0.3
SPIKE,14,2.0,24,BUY,True,counter,66,0.42424242424242425,1.613191019109997,0.34469696969696967,1.3153333333333335,10,6.6,,
SPIKE,14,1.5,6,BUY,True,counter,222,0.49099099099099097,1.60479252677841,0.2863828828828828,2.1473887984513174,11,20.181818181818183,,
PULLBACK,21,0.0,6,—,True,—,1920,0.5161458333333333,1.603693183550564,0.257809375,1.4583266654742966,11,174.54545454545453,50.0,1.0
PULLBACK,21,0.0,12,—,False,—,1538,0.47724317295188556,1.6026907343678984,0.3017568270481144,1.5586047891414208,11,139.8181818181818,50.0,0.5
SPIKE,14,1.5,18,BOTH,True,counter,304,0.4506578947368421,1.5982877940005955,0.3239078947368421,1.4337674418604651,11,27.636363636363637,,
PULLBACK,21,0.0,18,—,True,—,841,0.4684898929845422,1.5947866973421214,0.30925089179548154,1.4915692653029013,11,76.45454545454545,50.0,0.5
SPIKE,21,1.5,24,SELL,True,counter,101,0.4752475247524752,1.5923773584905658,0.31085148514851485,1.0669374999999999,11,9.181818181818182,,
