strategy,h1_ema,spike_mult,hold,dir,session,regime,n,wr,pf,avg_r,oos_pf,months,tpm,m5_ema,zone_atr
SPIKE,14,3.0,24,BOTH,False,counter,19,0.6842105263157895,3.8176666666666663,0.8897894736842105,1.5815000000000001,8,2.375,,
SPIKE,14,3.0,36,BOTH,False,counter,19,0.6842105263157895,3.7626666666666666,0.872421052631579,1.5815000000000001,8,2.375,,
SPIKE,14,3.0,48,BOTH,False,counter,19,0.6842105263157895,3.7626666666666666,0.872421052631579,1.5815000000000001,8,2.375,,
SPIKE,14,3.0,12,BOTH,False,counter,19,0.6842105263157895,3.736,0.8639999999999999,1.5815000000000001,8,2.375,,
SPIKE,14,2.5,12,SELL,False,counter,19,0.631578947368421,3.5742857142857143,0.9484210526315787,2.811,9,2.111111111111111,,
SPIKE,14,3.0,18,BOTH,False,counter,19,0.6842105263157895,3.560166666666667,0.8084736842105262,1.5815000000000001,8,2.375,,
SPIKE,14,2.5,18,SELL,False,counter,18,0.6111111111111112,3.4138571428571427,0.9387222222222221,2.811,9,2.0,,
SPIKE,14,2.5,24,SELL,False,counter,17,0.5882352941176471,2.9349999999999996,0.7967647058823529,1.8659999999999999,9,1.8888888888888888,,
SPIKE,14,2.5,48,SELL,False,counter,17,0.5882352941176471,2.9349999999999996,0.7967647058823529,1.8659999999999999,9,1.8888888888888888,,
SPIKE,14,2.5,36,SELL,False,counter,17,0.5882352941176471,2.9349999999999996,0.7967647058823529,1.8659999999999999,9,1.8888888888888888,,
SPIKE,21,3.0,24,BOTH,False,counter,21,0.5714285714285714,2.445888888888889,0.6196666666666666,0.5675,7,3.0,,
SPIKE,21,3.0,48,BOTH,False,counter,21,0.5714285714285714,2.409222222222222,0.6039523809523809,0.5675,7,3.0,,
SPIKE,21,3.0,36,BOTH,False,counter,21,0.5714285714285714,2.409222222222222,0.6039523809523809,0.5675,7,3.0,,
SPIKE,21,3.0,12,BOTH,False,counter,21,0.5714285714285714,2.3914444444444443,0.5963333333333334,0.5675,7,3.0,,
SPIKE,50,3.0,12,BUY,False,counter,21,0.5714285714285714,2.357555555555556,0.5818095238095238,inf,8,2.625,,
SPIKE,50,3.0,36,BUY,False,counter,21,0.5714285714285714,2.2754444444444446,0.5466190476190478,inf,8,2.625,,
SPIKE,21,2.5,12,SELL,False,counter,23,0.5217391304347826,2.2745454545454544,0.6095652173913042,1.1415,9,2.5555555555555554,,
SPIKE,21,3.0,18,BOTH,False,counter,21,0.5714285714285714,2.2742222222222224,0.546095238095238,0.5675,7,3.0,,
SPIKE,14,2.5,36,BOTH,False,counter,50,0.58,2.273047619047619,0.53468,1.3625,10,5.0,,
SPIKE,14,2.5,12,BOTH,False,counter,54,0.5925925925925926,2.264590909090909,0.5152037037037037,1.9211666666666665,10,5.4,,
SPIKE,14,2.5,18,BOTH,False,counter,52,0.5769230769230769,2.2110909090909088,0.5123846153846153,1.6775,10,5.2,,
SPIKE,50,3.0,24,BUY,False,counter,21,0.5238095238095238,2.198637428145625,0.5361904761904762,22.01015228426396,8,2.625,,
SPIKE,50,3.0,48,BUY,False,counter,21,0.5238095238095238,2.196984703422472,0.517952380952381,95.54022988505749,8,2.625,,
SPIKE,21,2.5,18,SELL,False,counter,22,0.5,2.172454545454545,0.5862272727272727,1.1415,9,2.4444444444444446,,
SPIKE,14,2.5,12,BOTH,True,counter,19,0.631578947368421,2.128142857142857,0.41563157894736835,7.136,8,2.375,,
SPIKE,14,2.5,48,BOTH,False,counter,50,0.56,2.0990295748613677,0.47566,1.3625,10,5.0,,
SPIKE,14,2.5,24,BOTH,False,counter,51,0.5686274509803921,2.0898636363636363,0.47013725490196073,1.3625,10,5.1,,
SPIKE,50,3.0,18,BUY,False,counter,21,0.5238095238095238,2.0837374717103136,0.4788571428571429,31.89247311827957,8,2.625,,
SPIKE,50,3.5,24,BUY,False,any,26,0.4230769230769231,1.9708666666666665,0.5601153846153846,2.7835,9,2.888888888888889,,
SPIKE,14,3.5,24,BUY,False,any,26,0.4230769230769231,1.9708666666666665,0.5601153846153846,2.7835,9,2.888888888888889,,
SPIKE,21,3.5,24,BUY,False,any,26,0.4230769230769231,1.9708666666666665,0.5601153846153846,2.7835,9,2.888888888888889,,
SPIKE,50,2.5,12,SELL,False,counter,28,0.5,1.9615000000000002,0.48075,0.6921999999999999,10,2.8,,
SPIKE,50,2.5,18,SELL,False,counter,27,0.48148148148148145,1.888142857142857,0.4605185185185185,0.7276,10,2.7,,
SPIKE,21,2.5,48,SELL,False,counter,21,0.47619047619047616,1.8677272727272725,0.4545238095238095,0.2428,9,2.3333333333333335,,
SPIKE,21,2.5,36,SELL,False,counter,21,0.47619047619047616,1.8677272727272725,0.4545238095238095,0.2428,9,2.3333333333333335,,
SPIKE,21,2.5,24,SELL,False,counter,21,0.47619047619047616,1.8677272727272725,0.4545238095238095,0.2428,9,2.3333333333333335,,
SPIKE,14,3.5,18,BUY,False,any,27,0.4444444444444444,1.8523333333333334,0.47351851851851845,2.1287499999999997,9,3.0,,
SPIKE,21,3.5,18,BUY,False,any,27,0.4444444444444444,1.8523333333333334,0.47351851851851845,2.1287499999999997,9,3.0,,
SPIKE,50,3.5,18,BUY,False,any,27,0.4444444444444444,1.8523333333333334,0.47351851851851845,2.1287499999999997,9,3.0,,
SPIKE,14,2.5,36,BOTH,True,counter,18,0.5555555555555556,1.8386250000000002,0.3727222222222222,7.136,8,2.25,,
SPIKE,21,2.5,12,BOTH,False,counter,58,0.5344827586206896,1.8265555555555553,0.38477586206896547,1.0623333333333334,10,5.8,,
SPIKE,21,2.5,36,BOTH,False,counter,54,0.5185185185185185,1.8165384615384612,0.3931481481481481,0.6898888888888889,10,5.4,,
SPIKE,14,2.5,36,BUY,False,counter,34,0.5588235294117647,1.8126,0.35850000000000004,1.452,10,3.4,,
SPIKE,21,2.5,18,BOTH,False,counter,56,0.5178571428571429,1.7829629629629624,0.3775,0.9577777777777777,10,5.6,,
SPIKE,21,3.5,36,BUY,False,any,26,0.4230769230769231,1.7818,0.4510384615384614,2.56275,9,2.888888888888889,,
SPIKE,50,3.5,48,BUY,False,any,26,0.4230769230769231,1.7818,0.4510384615384614,2.56275,9,2.888888888888889,,
SPIKE,50,3.5,36,BUY,False,any,26,0.4230769230769231,1.7818,0.4510384615384614,2.56275,9,2.888888888888889,,
SPIKE,21,3.5,48,BUY,False,any,26,0.4230769230769231,1.7818,0.4510384615384614,2.56275,9,2.888888888888889,,
SPIKE,14,3.5,36,BUY,False,any,26,0.4230769230769231,1.7818,0.4510384615384614,2.56275,9,2.888888888888889,,
SPIKE,14,3.5,48,BUY,False,any,26,0.4230769230769231,1.7818,0.4510384615384614,2.56275,9,2.888888888888889,,
SPIKE,50,4.0,18,BOTH,False,any,26,0.46153846153846156,1.7799285714285713,0.4199615384615385,0.9890000000000001,10,2.6,,
SPIKE,21,4.0,18,BOTH,False,any,26,0.46153846153846156,1.7799285714285713,0.4199615384615385,0.9890000000000001,10,2.6,,
SPIKE,14,4.0,18,BOTH,False,any,26,0.46153846153846156,1.7799285714285713,0.4199615384615385,0.9890000000000001,10,2.6,,
SPIKE,14,2.5,18,BOTH,True,counter,18,0.5555555555555556,1.7665,0.3406666666666667,7.136,8,2.25,,
SPIKE,21,3.5,12,BUY,False,any,27,0.4444444444444444,1.7615333333333332,0.423074074074074,1.82175,9,3.0,,
SPIKE,14,3.5,12,BUY,False,any,27,0.4444444444444444,1.7615333333333332,0.423074074074074,1.82175,9,3.0,,
SPIKE,50,3.5,12,BUY,False,any,27,0.4444444444444444,1.7615333333333332,0.423074074074074,1.82175,9,3.0,,
SPIKE,21,4.0,12,BOTH,False,any,26,0.46153846153846156,1.7524285714285714,0.40515384615384625,1.0597999999999999,10,2.6,,
SPIKE,14,4.0,12,BOTH,False,any,26,0.46153846153846156,1.7524285714285714,0.40515384615384625,1.0597999999999999,10,2.6,,
SPIKE,50,4.0,12,BOTH,False,any,26,0.46153846153846156,1.7524285714285714,0.40515384615384625,1.0597999999999999,10,2.6,,
SPIKE,14,2.5,24,BOTH,True,counter,18,0.5555555555555556,1.7231250000000002,0.3213888888888889,7.136,8,2.25,,
SPIKE,21,2.5,48,BOTH,False,counter,54,0.5,1.6861486486486486,0.3384999999999999,0.6898888888888889,10,5.4,,
SPIKE,21,2.5,24,BOTH,False,counter,55,0.509090909090909,1.6841851851851848,0.3358727272727272,0.6898888888888889,10,5.5,,
SPIKE,21,4.0,24,BOTH,False,any,25,0.44,1.676785714285714,0.37900000000000006,1.2698,10,2.5,,
SPIKE,50,4.0,48,BOTH,False,any,25,0.44,1.676785714285714,0.37900000000000006,1.2698,10,2.5,,
SPIKE,14,4.0,24,BOTH,False,any,25,0.44,1.676785714285714,0.37900000000000006,1.2698,10,2.5,,
SPIKE,14,4.0,36,BOTH,False,any,25,0.44,1.676785714285714,0.37900000000000006,1.2698,10,2.5,,
SPIKE,14,4.0,48,BOTH,False,any,25,0.44,1.676785714285714,0.37900000000000006,1.2698,10,2.5,,
SPIKE,21,4.0,36,BOTH,False,any,25,0.44,1.676785714285714,0.37900000000000006,1.2698,10,2.5,,
SPIKE,50,4.0,36,BOTH,False,any,25,0.44,1.676785714285714,0.37900000000000006,1.2698,10,2.5,,
SPIKE,50,4.0,24,BOTH,False,any,25,0.44,1.676785714285714,0.37900000000000006,1.2698,10,2.5,,
SPIKE,21,4.0,48,BOTH,False,any,25,0.44,1.676785714285714,0.37900000000000006,1.2698,10,2.5,,
SPIKE,21,2.5,36,BUY,False,counter,34,0.5294117647058824,1.6678125000000001,0.314264705882353,1.0608,10,3.4,,
SPIKE,50,3.0,12,BOTH,False,counter,33,0.48484848484848486,1.6675882352941176,0.34390909090909094,0.8535,10,3.3,,
SPIKE,14,2.5,12,BUY,False,counter,35,0.5714285714285714,1.6534000000000002,0.2800285714285714,1.452,10,3.5,,
SPIKE,50,2.5,48,SELL,False,counter,26,0.46153846153846156,1.644,0.3467692307692308,0.7144,10,2.6,,
SPIKE,50,2.5,36,SELL,False,counter,26,0.46153846153846156,1.644,0.3467692307692308,0.7144,10,2.6,,
SPIKE,50,3.0,12,BUY,False,any,56,0.44642857142857145,1.6378387096774192,0.3530892857142857,1.1614444444444443,10,5.6,,
SPIKE,14,3.0,12,BUY,False,any,56,0.44642857142857145,1.6378387096774192,0.3530892857142857,1.1614444444444443,10,5.6,,
SPIKE,21,3.0,12,BUY,False,any,56,0.44642857142857145,1.6378387096774192,0.3530892857142857,1.1614444444444443,10,5.6,,
SPIKE,50,3.0,48,BUY,False,any,52,0.4230769230769231,1.6268092274899442,0.3506153846153846,1.0681340422900953,10,5.2,,
SPIKE,21,3.0,48,BUY,False,any,52,0.4230769230769231,1.6268092274899442,0.3506153846153846,1.0681340422900953,10,5.2,,
SPIKE,14,3.0,48,BUY,False,any,52,0.4230769230769231,1.6268092274899442,0.3506153846153846,1.0681340422900953,10,5.2,,
SPIKE,50,2.5,24,SELL,False,counter,26,0.46153846153846156,1.6242142857142856,0.3361153846153846,0.659,10,2.6,,
SPIKE,50,3.0,36,BOTH,False,counter,33,0.48484848484848486,1.6222941176470589,0.32057575757575757,0.6811666666666666,10,3.3,,
SPIKE,50,3.0,36,BUY,False,any,52,0.4423076923076923,1.620793103448276,0.3462115384615384,0.997625,10,5.2,,
SPIKE,21,3.0,36,BUY,False,any,52,0.4423076923076923,1.620793103448276,0.3462115384615384,0.997625,10,5.2,,
SPIKE,14,3.0,36,BUY,False,any,52,0.4423076923076923,1.620793103448276,0.3462115384615384,0.997625,10,5.2,,
SPIKE,50,3.0,18,BUY,False,any,56,0.42857142857142855,1.5989002205952876,0.33451785714285714,0.9776915615906886,10,5.6,,
SPIKE,21,3.0,18,BUY,False,any,56,0.42857142857142855,1.5989002205952876,0.33451785714285714,0.9776915615906886,10,5.6,,
SPIKE,14,3.0,18,BUY,False,any,56,0.42857142857142855,1.5989002205952876,0.33451785714285714,0.9776915615906886,10,5.6,,
SPIKE,14,2.5,48,BUY,False,counter,34,0.5294117647058824,1.5906649616368287,0.27170588235294124,1.452,10,3.4,,
SPIKE,14,2.5,24,BUY,False,counter,35,0.5428571428571428,1.5895000000000001,0.2694857142857143,1.452,10,3.5,,
SPIKE,50,3.0,48,BOTH,False,counter,33,0.45454545454545453,1.5838941885644058,0.30233333333333334,0.5868243798258584,10,3.3,,
SPIKE,50,3.0,24,BOTH,False,counter,33,0.45454545454545453,1.5796826491893758,0.3055454545454545,0.5153268689396309,10,3.3,,
