strategy,h1_ema,spike_mult,hold,dir,session,regime,n,wr,pf,avg_r,oos_pf,months,tpm,m5_ema,zone_atr
SPIKE,14,2.0,6,SELL,False,counter,79,0.569620253164557,2.637131729379986,0.6597848101265822,2.213266162888329,10,7.9,,
SPIKE,14,2.0,12,SELL,False,counter,79,0.5822784810126582,2.6193197529726246,0.667139240506329,1.8325999999999998,10,7.9,,
SPIKE,14,2.5,6,BOTH,False,counter,54,0.6296296296296297,2.6168500000000003,0.5988333333333334,2.5328,10,5.4,,
SPIKE,14,2.0,6,BOTH,False,counter,191,0.5863874345549738,2.5771334146437423,0.6296230366492146,2.1647841777194543,10,19.1,,
SPIKE,14,2.0,24,BUY,False,counter,107,0.5794392523364486,2.542628874077067,0.642411214953271,2.085076923076923,10,10.7,,
SPIKE,14,2.0,6,BUY,False,counter,112,0.5982142857142857,2.534122891946052,0.6083482142857143,2.463923076923076,10,11.2,,
SPIKE,14,2.0,6,SELL,True,counter,38,0.5526315789473685,2.5304320203303683,0.6339210526315789,1.9870878487433707,10,3.8,,
SPIKE,14,2.0,18,BOTH,False,counter,182,0.5604395604395604,2.5256385610109326,0.6540714285714285,2.0536363636363637,10,18.2,,
SPIKE,14,2.0,18,BUY,False,counter,107,0.5700934579439252,2.503955359343836,0.6272056074766356,2.085076923076923,10,10.7,,
SPIKE,14,2.0,12,BOTH,False,counter,189,0.582010582010582,2.49639407598197,0.6147883597883598,2.012130434782609,10,18.9,,
SPIKE,14,2.0,6,BOTH,True,counter,94,0.5638297872340425,2.4751870865578622,0.6144468085106383,2.7030095319695837,10,9.4,,
SPIKE,21,2.0,6,BUY,False,counter,121,0.5867768595041323,2.4447007872422235,0.5899752066115702,2.5984285714285713,10,12.1,,
SPIKE,14,2.0,6,BUY,True,counter,56,0.5714285714285714,2.438047238713535,0.6012321428571428,2.9470000000000005,10,5.6,,
SPIKE,21,2.0,18,BUY,False,counter,113,0.5575221238938053,2.4198424613865863,0.6109469026548672,2.322714285714285,10,11.3,,
SPIKE,14,2.0,24,BOTH,False,counter,179,0.5586592178770949,2.4165277052915646,0.6216815642458101,1.8479090909090907,10,17.9,,
SPIKE,14,2.0,18,SELL,False,counter,77,0.5324675324675324,2.4102926223025647,0.6484415584415584,1.8644999999999996,10,7.7,,
SPIKE,14,2.0,12,BUY,False,counter,110,0.5818181818181818,2.407689067246081,0.5771909090909091,2.2786923076923076,10,11.0,,
SPIKE,14,2.0,12,SELL,True,counter,38,0.5789473684210527,2.3811875,0.5815526315789473,1.8318,10,3.8,,
SPIKE,21,2.0,24,BUY,False,counter,113,0.5575221238938053,2.372808168042132,0.6020796460176993,2.0592666666666664,10,11.3,,
SPIKE,50,2.0,6,SELL,True,counter,48,0.5416666666666666,2.319189971070396,0.57,1.3599495029193622,10,4.8,,
SPIKE,21,2.0,6,BUY,True,counter,60,0.5666666666666667,2.295124542556959,0.54855,2.1846666666666668,10,6.0,,
SPIKE,21,2.0,12,BUY,False,counter,117,0.5641025641025641,2.2663912340578407,0.5423076923076923,2.0930000000000004,10,11.7,,
SPIKE,14,2.5,12,BOTH,False,counter,54,0.5925925925925926,2.264590909090909,0.5152037037037037,1.9211666666666665,10,5.4,,
SPIKE,21,2.0,6,BOTH,False,counter,211,0.5497630331753555,2.225460970612785,0.535781990521327,1.9108418518372339,10,21.1,,
SPIKE,14,2.0,18,SELL,True,counter,37,0.5135135135135135,2.223052171914502,0.5752972972972973,1.8956000000000004,10,3.7,,
SPIKE,14,2.5,18,BOTH,False,counter,52,0.5769230769230769,2.2110909090909088,0.5123846153846153,1.6775,10,5.2,,
SPIKE,21,2.0,18,BOTH,False,counter,199,0.5226130653266332,2.178023584550722,0.5506934673366833,1.653074074074074,10,19.9,,
SPIKE,14,2.0,24,SELL,True,counter,37,0.5135135135135135,2.171555555555555,0.5699459459459458,1.8700000000000003,10,3.7,,
SPIKE,21,2.0,12,BOTH,False,counter,206,0.5436893203883495,2.1493685914732867,0.5169368932038835,1.5947500000000001,10,20.6,,
SPIKE,14,2.0,12,BOTH,True,counter,94,0.5531914893617021,2.1363404131085324,0.49688297872340426,2.5984000000000003,10,9.4,,
SPIKE,14,2.0,24,BOTH,True,counter,91,0.5164835164835165,2.134231731674281,0.5429230769230768,2.4965999999999995,10,9.1,,
SPIKE,14,2.0,24,SELL,False,counter,74,0.5135135135135135,2.1261944444444447,0.5478783783783784,1.4574,10,7.4,,
SPIKE,21,2.0,6,BOTH,True,counter,103,0.5339805825242718,2.1099603492730696,0.4973592233009708,1.5941476858231336,10,10.3,,
SPIKE,14,2.0,24,BUY,True,counter,54,0.5185185185185185,2.1079463202785713,0.5244074074074073,2.8983333333333334,10,5.4,,
